"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3"
"tau_raw[1,1]",2.07904253582691,2.41767687063088,3.33623817193971,1.27219145107819e-284,3.1691211106876e-76,1.54979666597803e-12,4.11478393074426,10.5261995212069,1.90422201912242,2.32875645379026,6.23472323287175,2.73607033898538,2.18804531037302,4.114879497382,5.91781857394039,7.77153035594947,12.5350122573701,0.00219139972802902,0.0101256687349402,1.090546895201e-77,5.80992932435361e-32,3.21571285205767e-16,2.0861974058877e-06,0.024468761171522,0.00021297488094733,0.00425360873623183,5.36112405741384e-300,4.51931412435461e-222,9.97339319742297e-154,1.63066710349176e-62,6.32819408403075e-06
"tau_raw[1,2]",0.460317174232064,NA,1.12895482396388,2.12241043818922e-304,2.08843057251575e-250,2.39406528803951e-173,0.20249667750132,4.37556488625584,NA,1.27656214337668,1.38091736817707,1.597690220931,0.0563275209965893,0.202553370942764,0.561712918582645,2.27504232946181,5.30426868088245,6.67785492724273e-169,0,3.14804970614237e-307,7.13448696017323e-290,3.04495221405164e-270,6.6187492806483e-234,1.32877284930186e-189,3.41545191202122e-05,0.00121683210951617,5.83387022224067e-285,7.88946984068502e-214,1.70929145642206e-173,2.17937775052871e-121,9.09379404467808e-20
"tau_raw[1,3]",0.00182070664060841,0.00054196364393989,0.0416404673902249,1.52018542051211e-304,7.39683718684417e-249,4.88374976085035e-136,3.64881556151631e-69,1.02735269422172e-07,5903.24601863137,1.00272615556442,0.00546211992182523,0.0719901761964165,1.77775889446541e-303,1.15902575737525e-155,1.19940146286857e-82,6.50990075668417e-32,0.00171018529437695,9.5995295864593e-18,6.78789246676519e-16,7.8618982971284e-307,5.98732554635196e-285,4.92385748355242e-241,2.24115398395557e-170,1.83286231599662e-71,9.80600738390463e-24,5.86660038328657e-22,4.45471683628259e-294,1.41240537579936e-215,3.84825988210644e-84,2.49195242609269e-66,9.91049536705741e-34
"tau_raw[2,1]",1.29671246026739,1.49813560517195,1.91708407867901,2.04086384352418e-290,1.72042069420754e-151,1.22027977554077e-47,3.18921103315982,5.5016894278457,1.63749532724456,3.86577905183304,3.89000909872564,0.968144198113883,2.34634372577359,3.18959284745555,3.66471624383832,4.48493051143843,6.01559313174618,8.73729091880865e-05,0.00113338012887866,1.73403140367305e-240,1.35983128332412e-147,4.77992381283464e-69,1.63863179150348e-35,3.02415618544298e-05,4.09091673465228e-05,0.00092543866286424,1.42169943492421e-303,2.16376960485249e-259,4.77191113763305e-166,1.21927610772372e-94,1.98676957808865e-08
"tau_raw[2,2]",0.000737313849153869,0.000691283470616806,0.0242178541939285,2.12690680190197e-300,1.03012265114761e-205,2.18288799579971e-120,8.49871566588035e-62,2.87916871500408e-08,1227.32328907752,1.00224228429315,0.00209354740081857,0.0418827693846166,4.67462772712918e-305,1.57213596506105e-260,4.1147843724541e-212,1.15816738425178e-139,5.60400778973457e-40,4.84573717915231e-05,0.000948614525075689,7.72630968278242e-286,1.28620511590914e-156,3.36496691336161e-106,6.28863904119234e-44,5.68063795566127e-07,6.99367748515092e-05,0.00138634639527345,1.15719960538434e-286,3.92173007598976e-128,6.15924260861049e-81,1.03429478089062e-42,5.31494300532069e-07
"tau_raw[2,3]",0.000140390721096807,5.21009346403272e-05,0.00522245670311627,4.00370102793886e-293,1.18630856013351e-179,7.32952100962363e-109,2.4045493290431e-55,3.51438602022403e-08,10047.5151080539,1.00032861079021,0.000251911644927066,0.0086830732553025,3.66153409594122e-289,4.59435039778112e-189,1.18442449256924e-95,1.9744526101022e-52,1.48272817678787e-13,4.24886543435763e-05,0.00115094470995173,3.89276152126138e-296,9.49206494046003e-192,4.24537243943991e-128,3.22546096519099e-74,5.7314919445874e-07,0.000126771864019779,0.00225619753627646,1.42138231512836e-292,1.40177123766188e-161,2.46655188231664e-101,5.54408115359816e-52,7.29621382924305e-07
"tau_raw[3,1]",5.50308827342688,6.24561119644002,11.556906133925,2.18050658558758e-301,6.14262642048612e-222,1.55022124072433e-149,8.61173956812365,33.73633354414,3.42399626301631,1.45954348988896,16.5092552306868,14.7986404372681,3.29820789788582,8.61211119913809,13.1883594484516,17.2349371533603,75.4109899016459,2.12210792319792e-07,1.01950663106292e-05,6.33906588526917e-292,3.46176832037817e-220,3.33506829000688e-183,7.11607056511509e-150,7.00567038466944e-36,9.37738305678287e-06,0.000522192822908809,8.08378680927505e-306,1.22506464008488e-272,7.55087470951046e-225,6.24274120112155e-149,1.58445216881159e-35
"tau_raw[3,2]",7.22046112059596e-05,2.7320155664831e-05,0.00316814679905538,2.0564744359778e-300,8.37283168248195e-204,3.09574792481761e-131,5.87711434140151e-67,3.10514573289115e-08,13447.5836531806,1.00022274122263,0.000115075875887669,0.00538070788490705,7.64017617942501e-306,1.85341115939351e-259,1.13748263748819e-213,9.75858854095377e-155,7.47080219612313e-24,9.28921860384038e-05,0.00105391251328265,1.01262380811315e-295,1.6293155565514e-174,8.85347820528743e-113,4.86768629707747e-36,1.7290262822819e-05,8.64577169180585e-06,0.000215458230242057,3.28374291265897e-205,1.42825376573875e-133,1.0231856778569e-104,2.33164333606805e-52,4.92055347853531e-09
"tau_raw[3,3]",0.00092348933515312,0.000555793954859943,0.0580863903730509,1.22459184445683e-303,2.06856955796491e-257,3.4491296059697e-203,4.04596240909333e-118,1.37852281463636e-15,10922.4770482419,1.00044171346241,0.00273622425803756,0.10058888281695,1.33019072796282e-306,1.11704637471829e-268,2.22457055150785e-204,2.74576821472558e-134,1.92502408714684e-14,8.83398714820274e-20,5.65829431534707e-18,2.95201562500489e-303,1.03886182175568e-248,8.50737288646985e-217,7.16874551763894e-130,8.10702757590369e-33,3.42437474218e-05,0.000618215609078761,3.35954918944293e-300,3.40058077463857e-251,2.02137537759558e-179,4.22731995862267e-90,6.80363598156619e-09
"tau_raw[4,1]",0.00016870832065473,0.000143572994972995,0.0175789606163766,5.87715759680581e-284,2.01762091228554e-183,3.75866838811782e-122,5.96904045705609e-78,6.04234220134006e-17,14991.3542347438,0.999987602729278,0.00042999336316295,0.0304051222693692,2.52764519610874e-253,7.29367444128994e-176,2.24588636948154e-135,8.26395680880095e-92,4.38351028630314e-31,7.37907832768069e-05,0.00160604967669343,4.39150762910506e-301,1.79624668676455e-235,1.77548833943445e-151,5.29711244787591e-72,1.15674459662898e-09,2.34081552443334e-06,0.000165431530719951,1.83540897193788e-219,4.71274330279623e-140,1.76061447087013e-100,2.27818403593822e-70,4.38909921905591e-26
"tau_raw[4,2]",0.00101164294661364,0.000460303477864629,0.0266112838636065,1.19182316301203e-302,1.02427186047713e-247,1.17691171040454e-177,6.09045098829598e-84,5.07853722512859e-10,3342.28240557638,1.00183316917614,0.0029447366454056,0.0459996382626955,3.21531314951318e-300,1.6103286855272e-232,2.21708054225521e-145,4.02935020469428e-77,9.9108052561822e-07,3.40320612061457e-05,0.000784071781317786,2.10412002504753e-305,1.9259135350546e-273,1.68164904486434e-228,2.21875120788859e-152,2.74856692927809e-12,5.61601332291773e-05,0.00160514035526323,5.01895121833839e-296,8.50801568244909e-228,1.4594562655475e-140,9.23782684746217e-71,1.92020913660694e-11
"tau_raw[4,3]",0.00104022461732393,0.000277365133499386,0.0238569902531709,1.07401341960098e-304,1.76803555392771e-231,5.11571823385859e-115,2.75965940006792e-69,0.000132013965716828,7398.2256411579,1.00221589163265,0.00267351228584247,0.0410719603417869,2.45340372525784e-238,5.30920204990254e-158,2.28498091634371e-85,2.28911117697082e-39,0.000397916402974822,9.41857735407067e-88,2.87520347268168e-86,7.02740658456732e-308,9.56433299308738e-291,8.85113818639021e-264,6.59231787467567e-224,2.36395275171791e-124,0.000447161566129337,0.00408503284493373,3.88973546373773e-133,2.62651627674456e-109,3.08773226564621e-91,1.60672354823176e-46,0.00271663785211136
"tau_raw[5,1]",0.000486018041340251,0.000231430671036525,0.0280091796755437,3.09620786676039e-298,3.24207398965217e-239,6.04277489330197e-169,1.1965825907977e-82,1.16945672711351e-11,14647.3463123046,1.00013720096331,0.00139393534822837,0.0484848836868426,9.16406646966464e-297,6.31725746154418e-225,9.75314331054914e-155,2.52532503637705e-86,2.42245273469545e-09,1.57114053029008e-05,0.000691926865588067,5.36832075163798e-302,5.90016038904473e-263,1.35808310279949e-225,6.9245671860656e-151,2.97984697866425e-15,4.84073704894814e-05,0.0011646222954163,3.42599252551527e-295,6.05856530578026e-189,3.70858156604739e-127,1.91103419374431e-66,1.86033689366956e-09
"tau_raw[5,2]",0.00173175375877252,0.000578374671101692,0.0445868792316418,2.21355418776167e-300,1.26775236085602e-230,1.31487144174137e-151,2.4789270702047e-64,1.73954855372249e-06,5942.86165860288,1.00164706800413,0.00516059583123558,0.0771125543925201,1.5208974802642e-301,2.07066777893988e-196,1.1450668905961e-89,7.84378649306545e-43,0.00120314402627459,3.37417127729846e-05,0.000882164590366442,4.07079921050194e-300,2.60187932522954e-234,1.15116516026918e-150,6.07690198708786e-48,4.09454536141824e-08,9.23732309002676e-07,3.14831792563591e-05,4.52599789492944e-300,4.56760686574707e-246,7.66054368652367e-197,1.11677392768191e-127,1.08832250220339e-24
"tau_raw[5,3]",0.000357576230781302,0.000219402640362813,0.0264190107660555,6.36699364979366e-303,2.06120854724114e-243,8.81895815343994e-164,1.11987377919208e-94,2.9735218595286e-13,14499.3790744218,1.00029662794693,0.00102818664932214,0.0457466342698641,1.94989146335899e-301,7.48199717800942e-259,4.71079721956856e-174,7.91475468485793e-96,7.43215534219724e-19,7.90232136469116e-06,0.000558778501249602,9.39690921896538e-304,2.0085382478223e-247,1.05118777107809e-183,4.91729796319058e-140,7.92085303474733e-55,3.66397216570718e-05,0.000655534280252303,1.0719968723203e-302,2.11084352525879e-211,4.44602674589197e-112,2.2098487738396e-52,1.27962162842223e-07
"tau_raw[6,1]",0.0169814867943859,0.010437006340881,0.5108865563019,3.65267310213898e-272,1.67691104539801e-132,1.42971542910884e-97,8.66537911150023e-40,1.0596501587425e-05,2396.05649949701,1.00147880789079,0.0508914592180537,0.883964796790473,6.61205875721251e-135,1.56480539962072e-78,6.30907292031084e-38,1.81615604518553e-23,0.00185863081395653,3.41343388109565e-22,2.41319565655953e-20,2.30151842768285e-296,1.99832802494369e-215,6.860852148643e-143,5.47867375492972e-99,2.30793640591546e-45,5.30011651040201e-05,0.000839877840999056,4.75673862404733e-161,3.16581484830649e-122,1.35660576610045e-106,1.04320889612057e-48,4.93732078392383e-05
"tau_raw[6,2]",0.00265067206929466,0.000834524966699545,0.0627054196453717,4.64814986357873e-281,1.08852474427023e-194,1.69865178061459e-135,6.15152015072856e-56,1.39882755267579e-05,5645.87799572541,1.00421537741479,0.00791008794568973,0.108420842336285,1.17278875696314e-281,1.89243886597809e-159,1.75560419209447e-75,6.91015389009996e-28,0.0059629969547469,5.3565694935354e-42,2.09078830359212e-40,2.76159507683726e-275,1.03811123893517e-208,1.54167460426601e-169,2.38090836772216e-141,3.12242233508171e-62,4.1928262194252e-05,0.000949550406875058,3.14572082002704e-294,9.67092940839638e-188,2.71179863644086e-103,6.75856498198433e-42,5.32961170267894e-08
"tau_raw[6,3]",0.00102348525286983,0.000426687948667566,0.0324666904278204,6.97294972966017e-281,1.16649756600617e-172,1.46660685852409e-90,4.58264192698183e-44,2.12857003596919e-06,5789.68967416614,1.0009359772305,0.00299022585925995,0.0561743892946267,2.82565014894571e-281,6.89582777472325e-161,5.38244192791391e-84,2.62577602008925e-43,5.2987118063795e-05,5.48163228583212e-05,0.000764437367840882,2.39901065681601e-190,4.34463411200282e-119,2.08722871296321e-51,2.42006510180714e-25,1.30874339413602e-05,2.54135764912141e-05,0.000854170775476076,1.51161598602208e-291,1.7958572905387e-220,1.59733352520191e-167,5.69510846990583e-90,5.26820781101952e-15
"tau_raw[7,1]",0.000708480324989064,0.000237498310357659,0.0201639909457105,3.59956930589736e-293,8.11635380144692e-191,2.24698151711938e-107,1.78976058647201e-54,0.000546667503178703,7208.28482773025,1.00054374628768,0.00100023121755429,0.0338595344064643,2.18611118480349e-291,2.53843414266857e-228,1.2597634104948e-173,6.47142066553994e-110,2.07592125960879e-16,0.000965639411221725,0.00802287328694258,1.39959902326288e-113,2.36279244022596e-82,8.18680325989406e-52,9.55854074403014e-16,0.00671193094804683,0.000159570346191177,0.00293854583915189,3.18528396819786e-302,2.32362377782602e-223,3.53685405299645e-155,2.0913328520238e-88,1.09153939725504e-07
