"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3"
"tau_raw[1,1]",0.791528261670934,1.55042231514612,2.03827469470978,-1.27810137980026,-0.632041387109809,-0.246296057486053,2.48797678522889,5.40932024044079,1.72832496966901,2.60328646254203,3.41202082639474,1.34386781807035,0.771056050576442,2.49087161569248,3.32243360915691,4.24650724658566,6.09030217109167,-0.600518386769154,0.363074263146941,-1.36423648109364,-0.830632267877641,-0.589379201632303,-0.355660677969925,0.0492185570956073,-0.436917654612781,0.458286268661536,-1.42371708580356,-0.704012389462302,-0.420536476915521,-0.137119470219804,0.406545747967398
"tau_raw[1,2]",-0.872758279562826,0.434263804070916,0.992070114650572,-2.40070872991845,-1.43610206345992,-1.06624630175318,-0.589805061749278,1.74434446728023,5.21888190192192,1.18989469304688,-0.163215877052297,1.33982277575568,-2.79961735823867,-1.04925804761293,-0.149811641879951,0.775190183536359,2.40249228825924,-1.16866301580936,0.399645534738144,-2.02161738687718,-1.40667443866841,-1.14081940251068,-0.902814926848278,-0.477318154166173,-1.28639594582682,0.48669196419526,-2.3910717564724,-1.58149021378118,-1.25941649245315,-0.959579567160701,-0.453185303017373
"tau_raw[1,3]",-1.27970216785198,0.0764441526307766,0.790176474808708,-3.14596238006106,-1.61852957737655,-1.1898157530698,-0.855735407921958,0.239391324691376,106.846339853009,1.02477316022695,-1.47141034942392,1.19224046246226,-3.74127049007778,-2.27435217276995,-1.46042299522801,-0.659945360611557,0.964880182299488,-1.07786226347837,0.383494867915651,-1.93073920317632,-1.29429379141888,-1.05383160772382,-0.825775553931306,-0.393117386394491,-1.28983389065364,0.477712528954829,-2.40561056786621,-1.57129670205838,-1.25064278722824,-0.964209318062071,-0.480564348203574
"tau_raw[2,1]",0.558502412516324,1.96844084249673,2.51092086170849,-1.94719861112375,-1.22404732329339,-0.835380767065765,3.05630897121981,5.71372528917238,1.62712648802229,3.37936020870725,3.91673311158027,1.26444425822442,1.55338681993499,3.06131466600711,3.95856384690988,4.76819479057623,6.47388734330364,-1.26176965008752,0.400404570524143,-2.20401443713062,-1.48852018772399,-1.20378406624033,-0.976815850915453,-0.626393818165248,-0.979456223943774,0.440744502843646,-1.92652421342174,-1.25805855640159,-0.961469996502424,-0.689133331375155,-0.186352203787363
"tau_raw[2,2]",-1.29058533759202,0.447181667487122,0.966867288709389,-2.70824232427755,-1.83819812121632,-1.47583388130582,-1.04279655408226,1.24678362056024,4.6748292481589,1.21100438696141,-0.570031327155037,1.28649300847129,-3.07892061894919,-1.44932529917902,-0.55336322646984,0.311922000619784,1.86705745891934,-1.58257704647924,0.406905669896008,-2.54652497460528,-1.81190703104524,-1.53794618213892,-1.29923677197196,-0.924199388948308,-1.71914763914177,0.443644356450574,-2.69768290535316,-2.00540741391321,-1.67644890067478,-1.4030722391312,-0.931202124939256
"tau_raw[2,3]",-1.53680522936096,0.067122172986081,0.78162135314754,-3.39617368544164,-1.88997441091209,-1.43577834775386,-1.09529394425522,-0.0224711146656647,135.60035150638,1.02584206239572,-1.71978068643948,1.17378319995313,-4.03825323301027,-2.48420988261031,-1.71646359585553,-0.947922272438787,0.640470467037513,-1.33167123285818,0.409254654223381,-2.29997020555836,-1.54565783007171,-1.27591401517484,-1.0509725078638,-0.694422709959594,-1.55896376878522,0.461124095199027,-2.58785459161315,-1.83744597425396,-1.52327421223162,-1.24522003275223,-0.761096932046708
"tau_raw[3,1]",0.330423971053737,1.80685088690462,2.34237695641562,-1.52473365298822,-1.26494336929599,-1.08928656907862,2.36612650922861,5.67215141017547,1.68061775522318,2.88875801185199,3.40058407531119,1.50092015028893,0.655121252491242,2.36776943046981,3.31334691894845,4.37990187753651,6.60013040099007,-1.22913874269309,0.142821598052281,-1.51630537254755,-1.32339041315344,-1.22781348422062,-1.12962336573984,-0.946784528498389,-1.18017341945688,0.209372820118806,-1.58189673267776,-1.32196334712077,-1.18698557593286,-1.03822371071662,-0.780209027318787
"tau_raw[3,2]",-1.56738713115564,0.063906780798967,0.732128789842029,-3.36545512071669,-1.79098493270031,-1.48999019246837,-1.27559673476709,-0.0262423186108133,131.244492501508,1.03262094258878,-1.70479280528676,1.20328974037276,-3.98842494669342,-2.50742905012014,-1.71248514866495,-0.963775513216531,0.850714785457782,-1.33379807622609,0.14772159145904,-1.62812514117905,-1.43018651565089,-1.33295626491789,-1.22611178998774,-1.06173113216559,-1.66357051195406,0.237917503160784,-2.173309442868,-1.81048304392312,-1.64372307676985,-1.50119849730754,-1.24828050948079
"tau_raw[3,3]",-1.72250085571315,0.763583297445695,1.09075211631356,-4.39023843654708,-2.29970088559982,-1.23358612528546,-0.97026957055653,-0.733169255807601,2.04051263534071,1.86680255074825,-2.97287212332589,1.04975310381836,-5.01299081764,-3.64969429956512,-2.97628373778333,-2.30320758694585,-0.983253174953596,-0.925018902862712,0.12264273189887,-1.17070890938629,-1.0051579047533,-0.919392181098327,-0.84045996831362,-0.693899624286447,-1.26961154095085,0.218307481410874,-1.76388206267587,-1.40131831576553,-1.25176517768942,-1.11715537911226,-0.895232303096539
"tau_raw[4,1]",-1.34421111552919,0.14890260860191,0.681804664149997,-2.53552214187544,-1.6515460179743,-1.4361060489373,-1.21602329213266,0.497606422024538,20.9659875424792,1.06144184759436,-1.05738739362247,1.07710895555562,-3.05783538831196,-1.80032990704524,-1.10256568382992,-0.341609903653138,1.30086255756575,-1.41565787924923,0.193985108400428,-1.81769455779289,-1.53936375366667,-1.40969066679351,-1.2814435700774,-1.05099768403925,-1.55958807371588,0.252618103803586,-2.08832929877168,-1.71857696862698,-1.55416734281149,-1.38862046276706,-1.1183678621352
"tau_raw[4,2]",-0.612814046296316,0.252391916182098,0.70704210023299,-1.68366327621655,-0.961163850068984,-0.739399800908513,-0.498132279080191,1.36917625406664,7.84765074595992,1.12170578886523,-0.200622170312256,1.06070370961423,-2.2022441266565,-0.912629070541485,-0.232671966915839,0.440802592857791,2.15722702832184,-0.745389618817327,0.192382812053288,-1.11633629691015,-0.868976188867808,-0.734642861333141,-0.617972696398386,-0.389639599637519,-0.892430349759366,0.269616903351559,-1.44587477040832,-1.06707472714221,-0.885530902682001,-0.693780596943007,-0.421144773650231
"tau_raw[4,3]",-1.47569128491717,0.571328960745027,0.85231986126988,-3.70170478943635,-1.84560686028531,-1.13176616528925,-0.89809616662439,-0.601833811177007,2.22552634343904,1.68579388138313,-2.40247275598191,0.871227166159738,-4.12232682764274,-2.9688507194459,-2.40326796219062,-1.81561521803934,-0.759990795746323,-0.887806829820123,0.185574724216986,-1.30000729234816,-1.00474562773315,-0.874964661778908,-0.759158713442485,-0.563806538021553,-1.13679426894948,0.258114544461137,-1.70387650208284,-1.28936498479231,-1.11303266532347,-0.969438649554213,-0.681608206874725
"tau_raw[5,1]",-1.64255888265137,0.0350671527827519,0.327352616194285,-2.54005529214333,-1.7042037694234,-1.60261675894279,-1.51386329296294,-0.970058299268515,87.142621626305,1.03394584929827,-1.75146856898142,0.534160328758493,-2.85972968074119,-2.05848748267151,-1.74401675031915,-1.41617977705712,-0.730882764221513,-1.58601853193239,0.0813349515214854,-1.74944021051982,-1.6395611810072,-1.58687897383933,-1.53135360087535,-1.42942308772385,-1.59018954704032,0.109236495682005,-1.79528066029904,-1.66370545038908,-1.58942220593459,-1.51925416460441,-1.37924114280322
"tau_raw[5,2]",-1.40281659183631,0.323608244786959,0.50891014699305,-2.80501224630268,-1.51105148686737,-1.18714866709503,-1.09540524693712,-0.949785184478309,2.47310789938923,1.54291090152538,-1.92851310535891,0.58575778383668,-3.18198304769241,-2.29527239383516,-1.91051506305957,-1.51078101449303,-0.86735950512599,-1.1127681884444,0.0831247887775269,-1.29345671338443,-1.16407344253811,-1.11295496434918,-1.06109061864965,-0.954526033602624,-1.16716848170563,0.105042063307588,-1.38419529778842,-1.23562306148754,-1.16632920432517,-1.09184193836301,-0.971747251018495
