"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3"
"tau_raw[1,1]",5.02040711248836e-05,1.4324036512893e-05,0.00150737129200114,2.23047736812045e-300,7.43029187017915e-240,6.95381652737785e-167,4.68755229295641e-78,2.89200691077588e-11,11074.1305991238,1.00023444911706,2.4510900679582e-05,0.000919186663989433,1.94390520066457e-304,1.27812559028285e-247,3.63457957784448e-183,1.29461002714934e-121,8.08822060206938e-26,2.72888128329372e-05,0.000861704946286428,1.54849493123574e-300,2.20777143614695e-253,3.05945372834476e-208,3.40340182706789e-115,1.20488092745206e-15,9.88124998621315e-05,0.0022861376620995,2.31167016293306e-291,3.94504303536793e-199,1.76285187030061e-107,1.61562103356513e-39,2.15568082872273e-07
"tau_raw[1,2]",2.88753286416979e-05,8.02253798675605e-06,0.000845968412978856,1.40716731787951e-298,2.13245022838238e-228,3.91550515492019e-148,9.00445684226948e-82,5.02795364204143e-13,11119.4864698987,1.00028430655035,2.09371063029744e-06,0.000113790702986131,1.17192451663687e-304,1.6481085314252e-262,6.01735393969952e-222,2.11870466992409e-153,1.96514305467174e-49,4.03774493125339e-05,0.00106832676632997,3.53253716851128e-299,1.12861821650969e-235,1.21090984569249e-149,6.50549751380968e-73,1.82425503123532e-10,4.41548259822625e-05,0.000995951982923175,5.07557869231496e-219,1.63747278811803e-145,1.08104498389829e-102,2.21039922958362e-55,1.61141671254176e-09
"tau_raw[1,3]",6.82739146894287e-05,2.06161521917898e-05,0.00199345750102417,4.39591650734874e-301,1.68843127176596e-234,2.61945107477997e-179,1.66186353043658e-117,4.60655732428348e-14,9349.72289140296,1.00056593246636,7.16281395446397e-06,0.000216212051194356,6.32264179936259e-303,7.13825438215614e-265,7.36334730148785e-215,8.21327150602362e-162,1.44892750641459e-18,0.000146714897576454,0.00295159484431536,9.34549846540784e-289,1.66879396573508e-203,1.69655042219194e-141,7.90507668420891e-75,9.12282447823412e-10,5.09440325373686e-05,0.00177605140662271,4.99898237920238e-302,2.49924537714852e-231,5.99776186749462e-171,4.89760198401434e-127,1.77625284044351e-18
"tau_raw[2,1]",3.469698402837e-05,1.26518466121817e-05,0.00116219100091388,9.94806161559615e-301,1.64097283049054e-232,2.28697352425549e-149,1.30618557384456e-81,6.38426429646031e-13,8438.14881985181,1.00021777159582,2.46395430552934e-08,1.03848408809885e-06,2.19481363423909e-304,8.2555593742052e-275,1.06078591865271e-229,2.71515791082594e-157,1.34179374645067e-54,4.62789330767673e-05,0.00108979440825535,5.01988599627314e-285,4.29726404948689e-202,1.06705115284046e-113,3.90183194448829e-54,1.18522304866967e-09,5.77873794652874e-05,0.00169206423252768,2.71797207449308e-298,2.79103933434773e-173,1.84950267855393e-114,4.75900603757558e-71,2.48539670370707e-11
"tau_raw[2,2]",4.77927658202699e-05,1.1291843235958e-05,0.00123798769481216,1.62781558984444e-300,2.57242797613124e-238,1.8088495485906e-152,5.74875279586182e-80,4.74106468130178e-10,12019.9587002667,1.00010751811221,5.64076342537207e-05,0.00158019145421019,1.01177859581429e-298,1.53056736520847e-249,2.44997073362496e-179,1.31745350979504e-95,4.59409129112704e-10,5.43858578570721e-05,0.00092688750172068,1.20383936374157e-296,2.73197873164251e-164,9.01450461163094e-101,2.0844389113936e-49,3.42680733792235e-08,3.2584805350017e-05,0.00111444123042489,7.41405228285108e-303,1.94283631746959e-258,1.44012023301245e-208,1.16053857077117e-113,2.81984992801044e-16
"tau_raw[2,3]",7.120688951762e-05,2.07563805113016e-05,0.00165000711835002,4.72061196023362e-294,5.32591679400809e-192,3.91948540421067e-120,7.6417594139121e-64,1.00273131200768e-08,6319.29148601106,1.0012166065307,8.60222460658459e-05,0.00160687345820006,4.0857795823004e-278,3.64484182476644e-161,2.38001982362021e-107,3.1075416781743e-61,4.29007638420087e-08,8.57033428103651e-07,3.83918398013822e-05,9.52219820706638e-302,8.18751877024726e-221,1.31694145313484e-165,5.31008465984371e-97,1.42322947351055e-23,0.00012674138905891,0.00236154380151655,1.68199690848443e-282,1.72864371963987e-171,2.39980368397236e-86,3.39548850562247e-42,1.47332201266089e-05
"tau_raw[3,1]",4.01510362544416e-05,1.33088638062187e-05,0.00155643364627515,4.44748552135277e-293,5.44376995445055e-203,6.82297935360977e-130,7.54590473010215e-62,7.81083307906098e-11,13676.6350917284,1.00016452245033,5.29537209752358e-05,0.000825683679815245,3.65626271936447e-275,4.34140664075118e-175,1.72949048275358e-95,3.61004262146423e-46,9.28127239051622e-07,5.80616973312359e-05,0.0025469946487154,8.21732359133317e-268,1.31148912755797e-174,2.63593749968176e-104,8.1823990099579e-54,5.91551082815455e-12,9.43769045685318e-06,0.000313149642190701,6.79449459058342e-301,3.07007249136821e-231,3.89436130597576e-181,2.26095516867565e-116,1.37313578175009e-20
"tau_raw[3,2]",1.34827220000867e-05,4.04919021489651e-06,0.000419576890581335,5.4584670583228e-296,1.13260919091192e-186,7.80220599224996e-117,5.14115314420782e-64,2.43018555285699e-11,10737.0941901761,1.00019042796918,4.69179375838476e-06,0.000148910506609837,2.17820506753826e-259,2.47405585769338e-163,2.6509545828099e-87,2.48357713777909e-59,2.12618648698547e-12,2.61272813127844e-05,0.000557720995635594,1.17339029951645e-257,8.8051818648642e-159,2.02486582289401e-99,5.53455380370324e-50,1.68175903709428e-08,9.62909092909099e-06,0.000441277258859052,2.66507970312884e-305,1.70791742047869e-242,3.54990946806279e-169,9.29332294962925e-107,9.90904625511563e-18
"tau_raw[3,3]",5.22438397041653e-05,1.660545989925e-05,0.00121886098248829,7.43582690795504e-304,1.83317012387218e-268,6.47459932544743e-195,2.42633591949141e-119,7.7353711818969e-12,5387.73880771316,1.00092822439375,0.000111708383804987,0.00173844160814431,5.45430344865669e-302,4.82970316679824e-248,2.74377890892458e-148,1.56851166653158e-68,8.35815622010832e-07,3.83030584516754e-05,0.00117686833560699,6.26869597436126e-299,3.66868048269474e-248,2.23188295466116e-188,1.18659344775827e-128,2.63505932539931e-15,6.72007685583339e-06,0.000210851597493284,2.24143050021361e-306,3.28827342774521e-283,4.30185382962613e-249,5.52360414652647e-163,1.13705481947804e-32
"tau_raw[4,1]",2.68731692624357e-05,9.61121062576143e-06,0.000928094838513529,2.88664084872272e-304,2.64289100985624e-267,3.27289509313167e-200,6.1663231511342e-129,6.44278052256132e-20,9324.56381111579,1.00232226083401,8.06195077873072e-05,0.00160626611451197,3.88161663175824e-302,3.34046519279738e-233,1.21713901405861e-149,3.32570975736932e-84,8.13034904951798e-08,1.5890631789851e-32,1.10631433466378e-30,1.51531711676909e-305,1.34587152694109e-268,1.02201945442514e-206,1.73930541045669e-129,7.77316340377559e-52,1.33087089613122e-41,9.4106781728907e-40,8.97205581052165e-305,6.62484916664171e-277,8.93276376938039e-237,9.5245331035916e-173,2.92304070122891e-84
