"","Point est.","Upper C.I."
"theta[172]",1.0011311571525,1.00388672691621
"theta[173]",1.00119902350917,1.00413826358089
"theta[174]",1.00111382435997,1.00406288185447
"theta[175]",1.00109333568356,1.00147551720436
"theta[176]",1.00003017019931,1.00031211354902
"theta[177]",1.00008217143661,1.00055454184351
"theta[178]",1.00135685017698,1.00373972484116
"theta[179]",1.00064060987557,1.00205543132846
"theta[180]",1.00048064238987,1.00158296958266
"theta[181]",1.00144422198099,1.00491530695987
"theta[182]",0.99999091016791,1.00018725507811
"theta[183]",1.0005473534934,1.00128865944164
"theta[184]",1.00338993503116,1.00651492296576
"theta[185]",1.00174334813417,1.00447694511609
"theta[186]",1.00091525594015,1.00351161277658
"theta[187]",1.00012221529605,1.000443000935
"theta[188]",1.00073894437708,1.00145260258276
"theta[189]",1.00069470287273,1.00134796121036
"theta[190]",1.00093463939714,1.00331201078296
"theta[191]",1.0004523211294,1.00180485490321
"theta[192]",1.00013503002553,1.00067331486334
"theta[193]",1.00083946220004,1.00270714057212
"theta[194]",1.00060522365059,1.00190331159188
"theta[195]",1.00112884730468,1.00324669681811
"theta[196]",1.00165273412011,1.00323617634014
"theta[197]",1.00060469834744,1.00242053306202
"theta[198]",0.99999922272904,1.00025790852099
"theta[199]",1.00145529635481,1.00498246947407
"theta[200]",1.00076418343271,1.00162618196196
"theta[201]",1.00077923200089,1.00297367706828
"theta[202]",1.00081196663211,1.00266625973381
"theta[203]",1.00171246584071,1.00647955505846
"theta[204]",1.00090505291625,1.0034612364515
"theta[205]",1.00364646193674,1.00848048238016
"theta[206]",1.0007975466213,1.0029477303196
"theta[207]",1.00061700709942,1.00221520165049
"theta[208]",1.00048346213575,1.00134211721229
"theta[209]",1.00072639485738,1.0026002322009
"theta[210]",1.00108057927974,1.00390228625555
"theta[211]",1.00020575070853,1.00025140184283
"theta[212]",1.00116697511296,1.00367376438847
"theta[213]",1.00439452148665,1.00992706729628
"theta[214]",1.00144628065751,1.00534190043838
"theta[215]",1.00129754548552,1.00351987510694
"theta[216]",1.00088761932981,1.00218588927864
"theta[217]",1.00134322130064,1.00477596468794
"theta[218]",1.00085862305847,1.00274205588069
"theta[219]",1.00146293131036,1.00559139303021
"theta[220]",1.00136165199021,1.00492941317453
"theta[221]",1.00061330201004,1.0008347993201
"theta[222]",1.00015390059778,1.00078691180829
"theta[223]",1.00291538728199,1.00702622201913
"theta[224]",1.00139930420339,1.00490567998748
"theta[225]",1.0005976350295,1.0010899669576
"theta[226]",1.00005213536951,1.00037796418859
"theta[227]",1.00070746710595,1.00247550469045
"theta[228]",1.00072833773648,1.00254928098918
"theta[229]",1.00033534040387,1.00129379518918
"theta[230]",1.00114218046239,1.00442217203624
"theta[231]",1.00118620847073,1.00378132005103
"theta[232]",1.00012393203531,1.00054903102752
"theta[233]",1.00087106750094,1.00315905478622
"theta[234]",1.00033946555693,1.00066252078396
"theta[235]",1.00060170249344,1.00165884372352
"theta[236]",1.0013140987045,1.0037353245696
"theta[237]",1.00227753624279,1.0071626481851
"theta[238]",1.00024950678928,1.00039404268194
"theta[239]",1.00066424434759,1.00204442624031
"theta[240]",1.00013685926523,1.0005672728891
"theta[241]",1.00046554726819,1.00173968872796
"theta[242]",1.00058837441115,1.00124223608513
"theta[243]",1.00016980159035,1.00065274085756
"theta[244]",1.00131681640639,1.00383948513254
"theta[245]",1.00056019056603,1.00217535497582
"theta[246]",1.0006079315752,1.00194166778994
"theta[247]",1.00051844803772,1.00189673467455
"theta[248]",1.00096496260326,1.00341831045372
"theta[249]",1.00130814083807,1.00246408578124
"theta[250]",1.00059322288626,1.00173855033256
"theta[251]",1.00202305250606,1.00570500659268
"theta[252]",1.00021877009031,1.00093165822989
"theta[253]",1.00062263533028,1.00190595539408
"theta[254]",1.00050601407843,1.00125948265621
"theta[255]",1.00089367823495,1.00319560974844
"theta[256]",1.00163838533278,1.00447068876726
"theta[257]",1.00116100597031,1.00419867788722
"theta[258]",1.00112069566976,1.00408664487677
"theta[259]",1.00132475147227,1.00239974224259
"theta[260]",1.00024500649991,1.00073266967704
"theta[261]",1.00115005096267,1.00426431248379
"theta[262]",1.00051809847775,1.00188316241354
"theta[263]",1.00028773033927,1.00100095234024
"theta[264]",1.00012724375694,1.00065134610592
"theta[265]",1.00052206009275,1.00191221616063
"theta[266]",1.00064378202899,1.00200563087998
"theta[267]",1.00059314957075,1.00193687756261
"theta[268]",1.00383721054057,1.01024073110155
"theta[269]",1.0002369158781,1.00112081608963
"theta[270]",1.00141025402228,1.00473716306596
"theta[271]",1.00030823453562,1.00137163357982
"theta[272]",1.0003584447188,1.00115160726232
"theta[273]",1.00026527953828,1.000330851331
"theta[274]",1.00157049954647,1.00528091387816
"theta[275]",1.00054511486684,1.00183188498808
"theta[276]",1.00021046941483,1.00058220401954
"theta[277]",1.00151428811258,1.00467574897759
"theta[278]",1.00177196637071,1.00404091473719
"theta[279]",1.00030985728433,1.00110180961837
"theta[280]",1.00196204320614,1.00603334106298
"theta[281]",1.00205881405505,1.00443889215115
"theta[282]",1.00101804416727,1.0028985086393
"theta[283]",1.00130195635309,1.00463355029673
"theta[284]",1.00083630544529,1.00290565558602
"theta[285]",1.00048468174859,1.00115681736331
"theta[286]",1.0011642795647,1.00341788419401
"theta[287]",1.00070945989223,1.0022100791451
"theta[288]",1.00025339594633,1.00106384836839
"theta[289]",1.00049762651678,1.00188368338238
"theta[290]",1.00099592667584,1.00385198204359
"theta[291]",1.00076266954355,1.00252180217559
"theta[292]",1.00056253962449,1.00193983104851
"theta[293]",1.00222171362666,1.00711093037709
"theta[294]",1.00169588602947,1.00638002405166
"theta[295]",1.00066271739817,1.00127346964081
"theta[296]",1.00022579374842,1.00093622213421
"theta[297]",1.00018363433235,1.00026456807503
"theta[298]",1.00087733418127,1.0029819170986
"theta[299]",1.00214275878243,1.00471201295055
"theta[300]",1.00211586931254,1.0053363151272
"theta[301]",1.00418426627499,1.01027849373539
"theta[302]",1.0010239307865,1.00387978236058
"theta[303]",1.00018713953582,1.00071642572534
"theta[304]",1.00055238487102,1.00166805893421
"theta[305]",1.00123173110743,1.00190204953617
"theta[306]",1.00115890282327,1.00251678599504
"theta[307]",1.00032285274558,1.00141329989514
"theta[308]",1.00034785974676,1.00113416776663
"theta[309]",1.00023128627959,1.00050595971119
"theta[310]",1.00181502699643,1.00516977567075
"theta[311]",1.00072988144593,1.00273450753651
"theta[312]",1.00133351343387,1.00275385334242
"theta[313]",1.00027801312544,1.0009156623287
"theta[314]",1.00178289244765,1.00621209213095
"theta[315]",1.00009213014755,1.00057480012757
"theta[316]",1.00068767378348,1.0022428278049
"theta[317]",1.00096801691267,1.00373028818339
"theta[318]",1.00232414108166,1.00821600761358
"theta[319]",1.00082073330832,1.00152728081215
"theta[320]",1.00071981079182,1.00194240720225
"theta[321]",1.00150933329889,1.002467407878
"theta[322]",1.00152201959137,1.00575285595071
"theta[323]",1.00112341992115,1.00389593216846
"theta[324]",1.00060519804029,1.00214736583356
"theta[325]",1.00078014324511,1.0019049774941
"theta[326]",1.0017501917575,1.00449406779124
"theta[327]",1.00140583410617,1.00518628075626
"theta[328]",1.0055089954563,1.01408672341774
"theta[329]",1.00376102362145,1.00752911341644
"theta[330]",1.00740586756224,1.01515059582223
"theta[331]",1.00063882552604,1.00203627844386
"theta[332]",1.00057923792651,1.00174410769154
"theta[333]",1.00091591469849,1.00316330340841
"theta[334]",1.00084593604719,1.00251329363724
"theta[335]",1.0044735703125,1.00949986310382
"theta[336]",1.00100361677419,1.00245236032964
"theta[337]",1.00006505455446,1.00048387749862
"theta[338]",1.0000032237095,1.00006172637655
"theta[339]",1.00052060350825,1.00116373308008
"theta[340]",1.0009049067214,1.0033917161779
"theta[341]",1.00055032151889,1.00181121074752
"theta[342]",1.00049333578062,1.00161176697066
"theta[343]",1.00107644643009,1.00410291159627
"theta[344]",1.00638511832052,1.0157583829984
"theta[345]",1.00086089849937,1.00335160134523
"theta[346]",1.00059334169102,1.00233728176604
"theta[347]",1.00141461886552,1.0043679784689
"theta[348]",1.00120529245931,1.00378147321141
"theta[349]",1.0011709999052,1.00396493707338
"theta[350]",1.00002390817309,1.00022550860146
"theta[351]",1.0019868065076,1.00561074393437
"theta[352]",1.00118030880788,1.00435160626058
"theta[353]",1.00043938394341,1.00185776955014
"theta[354]",1.00006400368474,1.00050182991326
"theta[355]",1.0007065241068,1.00210343658565
"theta[356]",1.00185153515449,1.00501698398304
"theta[357]",1.00082794528232,1.00209191232676
"theta[358]",1.00076530278081,1.0024180077857
"theta[359]",1.00452138799381,1.00743822315333
"theta[360]",1.00354523330857,1.00521946036016
"theta[361]",1.00153858923241,1.00487853736758
"theta[362]",1.00162962316517,1.00517796864848
"theta[363]",1.00037208414173,1.0014150257801
"theta[364]",1.00105412316934,1.00364024132303
"theta[365]",1.00082465928887,1.00329915335202
"theta[366]",1.0009238613309,1.00281465566683
"theta[367]",1.00384535548523,1.00952094729411
"theta[368]",1.00095708252934,1.00286734632311
"theta[369]",1.00076864518828,1.00286008960587
"theta[370]",1.00108292591439,1.00258681601593
"theta[371]",1.0010091113681,1.00346838931156
"theta[372]",1.00193433911926,1.00503465884029
"theta[373]",1.00178683023768,1.00375663316032
"theta[374]",1.00195479412319,1.00707774262902
"theta[375]",1.00225772980814,1.00708167667589
"theta[376]",1.00084005543417,1.00300466377726
"theta[377]",1.00268218405438,1.0092054354913
"theta[378]",1.00029016476069,1.00110675399428
"theta[379]",1.00083216713845,1.00184803284095
"theta[380]",1.00112343269558,1.00237087163012
"theta[381]",1.00322194144549,1.00900655871346
"theta[382]",1.00104973187295,1.00380888723368
"theta[383]",1.00007515792038,1.00008236339006
"theta[384]",1.00105458109521,1.00320362168933
"theta[385]",1.00174001309184,1.00581124648399
"theta[386]",1.00000764409246,1.00027922373889
"theta[387]",1.00084965158329,1.0021123504726
"theta[388]",1.00011941234775,1.00054745679313
"theta[389]",1.00097411193116,1.00319133418947
"theta[390]",1.00005506729944,1.00027995309614
"theta[391]",1.00135327523342,1.00514234387772
"theta[392]",1.00107771820599,1.00376717731864
"theta[393]",1.00007679399979,1.00034628944366
"theta[394]",1.00050127123103,1.00141568284075
"theta[395]",1.00052931275884,1.00193972041102
"theta[396]",1.00021992257212,1.00056538293608
"theta[397]",1.00098418611185,1.00373203589815
"theta[398]",1.00124989062168,1.00293385154793
"theta[399]",1.00032953654884,1.00122657258204
"theta[400]",1.00103790840619,1.00404227693094
"theta[401]",1.00190912955561,1.00606094600982
"theta[402]",1.0006900523418,1.00280378207323
"theta[403]",1.00108967732483,1.00308991395321
"theta[404]",1.00171297128526,1.00589272009839
"theta[405]",1.00096530048046,1.00367119856525
"theta[406]",1.00016631263474,1.00064333189284
"theta[407]",1.00160303801027,1.00581116921507
"theta[408]",1.00136121930729,1.00177954532575
"theta[409]",1.00013441605431,1.00064299128702
"theta[410]",1.00102478787014,1.00360789338264
"theta[411]",1.00097546218191,1.00261141108048
"theta[412]",1.00022678904183,1.00065966614926
"theta[413]",1.00265183911068,1.00588572951526
"theta[414]",1.00051363083605,1.00076447653032
"theta[415]",1.001082228701,1.00168490496304
"theta[416]",1.00034218426016,1.00097598118791
"theta[417]",1.00066862474958,1.00259060401054
"theta[418]",1.00050840230154,1.00130305933983
"theta[419]",1.00533505406648,1.01476324053976
"theta[420]",1.00112296936058,1.00271567539195
"theta[421]",1.00034033918936,1.00118591378061
"theta[422]",1.00314208753035,1.00756655294501
"theta[423]",1.00159851337603,1.00611447587693
"theta[424]",1.00118362197725,1.00450515245461
"theta[425]",1.00065553757192,1.00215647770067
"theta[426]",1.00032593258342,1.00112451348777
"theta[427]",1.00038556323939,1.00148818730557
"theta[428]",1.00055063217398,1.00194305206932
"theta[429]",1.000483224213,1.00200906452414
"theta[430]",1.00050316205537,1.00197351263213
"theta[431]",1.00031479552234,1.00115894298743
"theta[432]",1.00024858206301,1.00095390441141
"theta[433]",1.00126950074771,1.00360639640572
"theta[434]",1.00173529258404,1.00450166794138
"theta[435]",1.00051381806879,1.00183292856129
"theta[436]",1.00034402772792,1.00103697930865
"theta[437]",1.00105679892886,1.00301659765813
"theta[438]",1.00022765222771,1.00076730979592
"theta[439]",1.00089844125238,1.0023411891005
"theta[440]",1.00097439574061,1.00367652042916
"theta[441]",1.00159578765311,1.00556358388145
"theta[442]",1.00194847843864,1.00739321303965
"theta[443]",1.00138820851185,1.00388794381126
"theta[444]",1.00035391872932,1.00087352714972
"theta[445]",1.0015215201507,1.00483083543043
"theta[446]",1.00192747751269,1.00579862808741
"theta[447]",1.0007771385031,1.00210737628719
"theta[448]",1.00251448800697,1.00586755929495
"theta[449]",1.00078266074173,1.00306244148191
"theta[450]",1.00120217081097,1.00377106587657
"theta[451]",1.0003849884973,1.0015460228484
"theta[452]",1.00317656948855,1.00950755255584
"theta[453]",1.00001627918578,1.0002483210656
"theta[454]",1.00152739903846,1.00535177453706
"theta[455]",1.00398536158517,1.01143944932967
"theta[456]",1.00182849389986,1.00696565598656
"theta[457]",1.00338848481473,1.00841961745853
"theta[458]",1.00008988299737,1.00020203731094
"theta[459]",1.00124471640766,1.00415635033226
"theta[460]",1.0008661698307,1.00283730657638
"theta[461]",1.00026960028579,1.00040654496331
"theta[462]",1.00132145668828,1.00445097503555
"theta[463]",1.00173256472653,1.00523901412179
"theta[464]",1.0009770423536,1.0023464799886
"theta[465]",1.00520901446977,1.01475746641998
"theta[466]",1.00132718105541,1.00480838960388
"theta[467]",1.00040333877026,1.00157027373566
"theta[468]",1.00151056617706,1.00453433933521
