"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2"
"tau_raw[1,1]",0.448108526808525,0.46200959747037,0.564178415086634,9.04720412753695e-65,1.22052504719317e-41,0.153278516194117,0.679426284512518,1.71800427135241,1.49118298011779,4.12209470138154,8.53544043568799e-05,0.000907108347914604,5.21387655666712e-66,1.56289522257775e-55,1.14298698271234e-41,3.72279466162613e-29,2.77569068060773e-06,0.896131699212694,0.484830881601139,0.331526590780022,0.442008956381622,0.694513890724528,1.28959777462236,1.81289544640781
"tau_raw[1,2]",1.13174513500508e-05,8.86824772892827e-06,0.000209203280624635,6.14674202143008e-245,3.62197756578214e-191,2.86785326850527e-84,5.54612334917044e-47,3.18697476893572e-14,556.495104998784,1.00488423920147,2.26349027001016e-05,0.000295498577381869,2.73582033630285e-79,3.67032921166709e-63,5.54612334917044e-47,4.13009583560038e-29,4.51401002845546e-09,3.42107958650833e-115,6.53606984089091e-114,1.58494948884181e-247,1.31212524001505e-216,3.60097422903101e-191,1.16834291825648e-156,2.52407635457831e-130
"tau_raw[1,3]",0.000131686908997314,7.12668203430435e-05,0.00207074055211617,2.57755656409045e-305,7.66936359446248e-254,4.27807870527277e-176,1.4086452920482e-69,6.29706540867911e-18,844.260774413604,1.00006736561685,0.000114304099541905,0.00233461475431011,9.279197434451e-307,7.54284303620445e-285,1.55858570132549e-222,2.40801999671699e-78,1.06260188276063e-14,0.000149069718452722,0.00176895283909691,2.25780142187548e-302,4.91364399291137e-229,3.68563772418236e-130,2.35406524107804e-62,9.44514926921375e-22
"tau_raw[2,1]",1.12655346389191,NA,1.23623934880667,8.52626177783571e-283,6.58420049093016e-243,0.565685638721391,2.12801045053583,3.63191949079601,NA,3.37407140822791,2.28409643585294e-168,0,1.05819237333164e-289,1.28736878915466e-258,6.43928297144861e-243,6.88322957414094e-216,2.0574832596606e-181,2.25310692778381,0.719248964133465,1.23078380942113,1.72643193556407,2.12843393302702,2.5569535812894,4.05562423325092
"tau_raw[2,2]",0.000653630180387367,0.000414235888153188,0.0139253631781965,7.07228376426839e-294,1.23942329380165e-134,3.64293452537311e-79,1.5246189617347e-53,1.17816817607553e-09,1130.10193039474,1.00339599160167,3.00756955563249e-06,8.42303203220918e-05,3.55856073338367e-137,2.86724198898384e-89,9.03306092038821e-72,1.79441010704881e-48,2.84397828079118e-18,0.0013042527912191,0.0196766619974399,3.49864992411284e-298,1.60143604546145e-256,4.70182551857858e-110,3.661719830661e-59,1.0566973775965e-05
"tau_raw[2,3]",4.13538084461437e-05,2.03175093310044e-05,0.000628143700005728,3.35423241504827e-295,9.34231755293612e-215,2.84517563956215e-80,8.35673294645879e-48,1.58302020195865e-07,955.822128901564,1.00280686737325,1.89216436866898e-05,0.000330665592513572,5.90829837980366e-119,1.83796054111102e-79,1.08571967063016e-56,7.19120259807034e-45,1.93025491220925e-06,6.37859732055977e-05,0.000824121853651334,5.43880455153251e-301,4.73199348612854e-264,9.18251315061728e-215,4.90615639971945e-103,5.90578271948105e-09
"tau_raw[3,1]",36.7673127774337,38.3268197708363,51.1955958466168,5.46654567681889e-16,3.41212221164532e-09,5.82423162348993,79.5583165677119,156.360772836847,1.78426614416244,3.28678680439219,0.00334349708254517,0.0138052096867125,9.35528290412474e-18,2.43510403590623e-12,3.37076181273791e-09,1.93250341470067e-06,0.0492717091485483,73.5312820577848,50.3856798206666,14.2246923179582,23.8635882054694,79.6115628453419,111.65540658727,170.032311722803
"tau_raw[3,2]",0.000282584147403155,0.000264533435358802,0.0118153586918417,2.03172575113457e-117,3.74120539480557e-93,4.56921397124912e-71,5.36444435590504e-41,9.43481176120487e-10,1994.95304039332,0.999962940169411,3.5803747416739e-05,0.000423955577665891,5.20007009195052e-115,1.9623985231783e-92,3.30906225239714e-80,1.2758083738514e-43,5.62506647690211e-07,0.00052936454738957,0.016704594670051,3.65397937572489e-128,3.00609137636253e-95,7.63677076369225e-61,9.05396201547545e-40,3.39755078251748e-13
"tau_raw[3,3]",0.00516817763494569,0.0034672504848269,0.0969842791403996,2.24711052999251e-300,7.20879805054105e-203,7.21112358135318e-27,9.23072221269291e-11,0.00656817897578612,782.406138587375,1.0046634452478,3.05205192932333e-05,0.000340463306612599,1.9296526981462e-305,7.46889918375853e-255,7.1548869965144e-203,7.1349976592978e-57,2.23827459103714e-05,0.0103058347505982,0.136997650951057,3.28868647071781e-29,1.35216744358343e-24,1.3101190639074e-12,2.44095938131082e-08,0.0202191917955291
"tau_raw[4,1]",6.16039089882025e-05,3.96981876524962e-05,0.00125014957782631,8.34556602188008e-256,8.05725753520471e-220,3.89222360308089e-192,2.3776120658597e-157,2.27291037601685e-12,991.705213820766,1.00387728815875,0.000123207817976405,0.00176627140932469,5.16554499225035e-236,1.10714203656247e-193,1.32050324359392e-161,2.25499109397449e-115,1.36649370760184e-08,9.32035134177572e-123,2.52315631924024e-121,3.15118451422854e-265,7.21567854038309e-239,1.70739112812064e-215,4.62852394134224e-190,2.94330595727322e-140
"tau_raw[4,2]",8.76381007489327e-05,4.13216691681355e-05,0.00162443234702007,3.46507912948099e-305,7.96937874136233e-180,2.79367584527905e-109,3.98610225643444e-46,1.21092009306719e-06,1545.4236185553,1.0027497615473,0.000175276201497865,0.00229452088077376,4.88505876073067e-118,2.65271126634952e-99,4.01309536780351e-46,6.89330045486636e-24,0.00017734291395796,8.3740140985399e-62,1.74525785822885e-60,1.19055967348813e-307,1.1443234397681e-242,7.01134673866722e-180,2.10288683901285e-132,2.27004255630089e-81
"tau_raw[4,3]",0.000362064011477539,0.000201287124713187,0.00805879252730135,7.04448620929719e-294,6.29803227488055e-249,1.93259565292074e-168,1.96102206549354e-53,2.01903134881887e-07,1602.90564235556,1.00261831116834,3.01431053129993e-05,0.00056055578174116,5.09695662252836e-293,4.53288081955206e-253,6.95078592005195e-201,8.83663475405023e-91,8.31270854154918e-21,0.000693984917642079,0.0113762250689075,2.26092369974589e-295,1.82911310911027e-232,1.03183555986137e-134,3.58472384271799e-31,1.59828639249987e-05
"tau_raw[5,1]",0.00344576033417186,0.00223222759816035,0.0372105894168781,9.08330456558678e-105,4.55537909621218e-73,1.47970985423624e-42,5.62757118613562e-22,0.00266309130051278,277.879271833062,1.00703770303123,0.000171756799053234,0.00453037601338147,3.85146466138551e-116,7.41475195081002e-86,9.68398356182885e-72,9.68523837901358e-54,5.28697253505899e-09,0.00671976386929049,0.0522365578757366,2.95536969457509e-69,1.75124945984068e-40,1.7343457980982e-25,2.55840164311942e-16,0.039933516944307
"tau_raw[5,2]",3.09232677681693e-77,3.34639077447038e-77,1.0027222027125e-75,1.3970449072905e-305,2.43684977300564e-259,1.45679466329228e-204,3.08594336306631e-168,6.61957292088088e-108,897.85861524124,1.00090430065325,1.41601222536083e-106,1.27538864976275e-105,1.18406070081424e-307,7.47282052604116e-282,2.29386021653373e-259,8.14129117837047e-241,2.80751410657424e-115,6.18465355363387e-77,1.41774316380259e-75,7.82329358656434e-216,5.4204402875881e-200,1.7870438174241e-183,7.65767683115951e-157,6.62994676240515e-87
"tau_raw[5,3]",0.00241130490993066,0.00175151865649225,0.0355299844041769,3.87169871181714e-287,3.25621391806958e-180,1.82496017466567e-111,9.66120865153348e-41,9.83850446924058e-05,411.491149310332,1.00737605706095,1.04390353163593e-102,3.30110101266166e-101,1.13646932019539e-288,4.26538974027243e-264,2.74228217650633e-180,1.57641497386172e-136,9.90322001052782e-122,0.00482260981986132,0.0501436217658521,7.87366402597936e-99,6.14830507581816e-58,1.10865455554795e-40,5.29492599351025e-27,0.0128302797603201
"tau_raw[6,1]",0.00113039415582531,0.000701958057520276,0.0154281021170983,9.26821398058776e-43,1.26424089121903e-29,1.35210405362184e-14,2.99266894162461e-11,0.000186015394358017,483.061785744182,1.0098343679445,1.00028673233355e-06,4.6367704628854e-06,3.50827316671667e-17,1.63655590858652e-14,1.8601812676595e-12,6.22398249826233e-11,1.0769448152628e-05,0.00225978802491828,0.021765507077332,1.23363225913948e-46,5.12380192371144e-34,1.23807976015177e-29,2.95829879521102e-15,0.00408640585651517
"tau_raw[6,2]",0.000516486125175565,0.000309442150762067,0.0118679075805345,2.29198276871563e-206,5.62185078371099e-124,1.71109155200369e-86,6.08263923340672e-55,6.32283327083362e-08,1470.92107137251,1.00279937983235,5.52127505000591e-08,1.71514045060872e-06,2.38806287752994e-138,7.00868978678289e-99,5.23784607546204e-79,7.09828458794278e-59,1.45332912776243e-33,0.00103291703760063,0.0167720454997815,8.92448776447525e-211,2.63215845416539e-155,3.99047109713772e-113,4.14403551960873e-44,1.98833912289688e-05
"tau_raw[6,3]",0.00730779011203394,0.00433987810055521,0.0599833622263858,6.06378636724419e-308,5.00067052014046e-281,1.13594996200562e-94,7.75108469601802e-23,0.0409836060011195,191.032187445679,1.02124403829567,6.39419097451172e-117,1.87426863246368e-115,1.9497731193773e-308,9.37139930201582e-300,4.79591801559271e-281,3.26181152451522e-250,7.69177380925534e-124,0.0146155802240679,0.0842181369193282,5.91158052235194e-87,1.21244979779947e-49,7.81108574803883e-23,2.00982341994749e-07,0.150872216659481
"tau_raw[7,1]",0.00111729782695799,0.000716718101548485,0.012127821358098,1.63481836600971e-300,3.64717186820017e-197,4.17110279217204e-46,2.54061370606233e-26,0.000773781377203241,286.331307203744,1.00621377536816,0.00223457425791962,0.0170826292018117,3.93591465591758e-47,2.03578183372694e-32,1.28545494652942e-26,2.688688506904e-14,0.0217515674294831,2.13959963654845e-08,5.14530430916844e-07,1.3919028715627e-303,4.26810039792213e-248,3.64717186820017e-197,1.71291550595488e-133,2.80327283971785e-40
"tau_raw[7,2]",0.000188263985976022,NA,0.00486184763989833,2.38885421788538e-304,2.57213513275384e-284,5.47727836944442e-250,2.51604498499399e-153,1.78057825751113e-12,NA,1.00199231094785,5.82505806972981e-189,0,1.97104198199491e-305,3.39743714734667e-294,7.05802533952349e-280,8.07702766081424e-258,4.59923419696919e-202,0.000376527971952045,0.00687225061798692,5.88976316965914e-296,8.18962031251236e-243,3.04287566301914e-153,1.9445621698936e-35,5.54189288310929e-07
"tau_raw[7,3]",0.000139894495893322,8.8675511577378e-05,0.00336510260225505,1.25411693036081e-230,4.92807478324684e-117,9.07056276670976e-47,1.36552490790808e-31,5.34636537341918e-17,1440.08861044884,1.00246624665204,2.51676914465338e-19,1.80589692815874e-18,7.07928081636349e-58,8.39670369349628e-45,2.73298594348044e-35,1.52496616850678e-27,1.3908331074508e-19,0.000279788991786645,0.00475604732715091,1.96512995390607e-243,1.995410582576e-174,4.28214332944948e-117,1.98891846864065e-61,1.86654238339004e-11
"tau_raw[8,1]",0.000518784121742559,0.000467776071960388,0.0208810454257808,4.1153115239472e-301,2.87227489617311e-226,3.56135455386698e-171,1.48627189321199e-83,3.50310289296238e-15,1992.63828829357,0.999930847201795,0.000106393061552764,0.00231459906768849,5.19569892392803e-306,5.3597530040415e-265,1.63174893982122e-215,1.04531886243577e-135,1.02461992847643e-11,0.000931175181932353,0.0294410381707098,1.94041212006559e-254,1.22444249097075e-189,6.12216297728939e-112,2.84286471396423e-75,1.54647096670809e-18
"tau_raw[8,2]",0.00161123940049675,0.00087171698295423,0.0295948943660368,1.75429662197807e-248,1.3746544354378e-98,1.0363199044217e-58,1.88391768032014e-30,4.67247555799744e-08,1152.61050692788,1.00496005016755,1.4587618973914e-13,3.2142794982504e-12,3.27075130330169e-90,2.65007669671843e-48,8.25464488482129e-39,2.62069470739992e-26,2.24745314838927e-17,0.00322247880084763,0.0418018527985078,2.46693986877829e-255,9.02698688620485e-206,1.34868572434518e-98,5.00546991595786e-70,2.76595605107274e-05
"tau_raw[8,3]",3.8479322111202e-23,3.83713557470131e-23,1.17368756629942e-21,2.92969819808038e-288,1.51394788112686e-216,2.09538973232758e-172,6.93137385742433e-132,5.64658644230062e-29,935.601090818157,1.00115276642221,7.6958644222404e-23,1.65936724303434e-21,4.21625129818066e-224,1.52493667914455e-171,1.82500519897271e-134,1.33724580330152e-94,1.16133308961965e-26,4.50795725177207e-96,1.18815406440747e-94,1.17189307765096e-301,4.97938722415466e-248,7.41890883040091e-200,1.85984273401579e-173,8.62250793786348e-115
"tau_raw[9,1]",0.000302098173238437,0.000199345534144373,0.00306788871845846,9.74266020018007e-103,5.5071194083375e-52,7.80086116850745e-25,5.40897997575677e-16,0.00151352970424789,236.846070200353,1.00266308098895,0.000444793108437168,0.0036991532482139,1.38271040327802e-28,4.64881672886286e-24,6.11192078592017e-20,5.39292964468384e-13,0.0056003769950318,0.000159403238039705,0.00226026647388158,8.76317827529806e-133,1.21410676949952e-67,5.20727052776585e-52,8.08525030519419e-32,9.99769644308963e-05
"tau_raw[9,2]",1.12784910803603e-45,1.12455409443145e-45,4.97950428179415e-44,7.52267077351905e-235,5.67150464504931e-190,6.93183486157337e-169,1.08915819308728e-118,5.14156516122023e-67,1960.70166670349,1.0000260691336,2.25569821607205e-45,7.04203661801326e-44,1.00412006257961e-224,5.7681214764617e-174,1.08915819308728e-118,2.38155699285602e-95,6.36599349788041e-62,1.0753224411784e-126,2.24482691519051e-125,1.45216693075215e-239,3.43005526216492e-202,3.16342252526362e-182,5.80768761158238e-167,8.78864366574697e-129
"tau_raw[9,3]",4.36485950392598e-05,2.76874967485199e-05,0.000758476506008213,1.9834521118543e-250,8.62314135861772e-207,4.4817197270475e-165,2.19045954276035e-108,9.67416464545894e-15,750.441565524883,1.00566390040025,1.53686235887821e-88,4.82507107246468e-87,1.74742171913926e-248,2.95539781747546e-218,8.9227913313438e-193,7.11183409413695e-135,2.46377377720323e-97,8.72971900785196e-05,0.00107113718490853,3.36959692142992e-252,2.75125532723017e-178,1.8102271615194e-141,5.5070163126437e-80,9.17979630679559e-10
"tau_raw[10,1]",0.000129091373727231,6.09089173122422e-05,0.0023511340438028,5.12237569983552e-288,1.44757987673934e-124,1.65285710149238e-77,1.29456868980354e-35,2.01390922781082e-06,1490.02316554989,1.00012465241759,0.000157572714527163,0.0021319355341587,3.7685418492902e-100,1.41824661864846e-73,1.57561850003782e-37,1.15133948786675e-22,1.41911405549254e-05,0.000100610032927299,0.00255233673898254,4.19648018185612e-298,1.15899837695335e-223,1.41684467281656e-124,3.55443489560049e-82,1.93215725420669e-10
