"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3"
"tau_raw[1,1]",-1.59093081193604,0.217127642960336,0.61200531395589,-2.93496426728066,-1.89494028245395,-1.53595855418127,-1.28882400194829,-0.311547332100218,7.94474843983754,1.1091490050602,-1.93167881790126,0.59918222532271,-3.19900553819745,-2.30678907632011,-1.89102144187973,-1.5157794546412,-0.848474003888021,-1.36197831618997,0.740863428937829,-2.84795357308218,-1.85534839909296,-1.35240628369517,-0.844927718849957,0.0598827581680811,-1.47913530171688,0.186656117124535,-1.87286852093822,-1.5965191160772,-1.47225316046239,-1.35495563356508,-1.13445084356758
"tau_raw[1,2]",-1.58809538441978,0.345589955648465,0.722669955167242,-3.21836959220248,-2.06936009351216,-1.40326582348629,-1.05487018930973,-0.482163813842075,4.37278148825425,1.21319724705305,-2.01783965162989,0.652690570328449,-3.40287815302174,-2.43243970140539,-1.98375179085644,-1.56549229124349,-0.845174699644413,-1.66025946872858,0.811832211144235,-3.30992990721809,-2.20930829350126,-1.62720440614066,-1.09314271777689,-0.175872852507676,-1.08618703290086,0.199999634926258,-1.50925632726612,-1.21258865002828,-1.07767057868158,-0.948338758785425,-0.730239673433953
"tau_raw[1,3]",-1.73277480281309,0.54038342810383,0.857704332897452,-3.55233231875881,-2.35303259666505,-1.66803903269136,-0.942332403532344,-0.582307005663855,2.51924940053469,1.50610842963465,-2.18082878372207,0.653275285427679,-3.62163545794473,-2.57226996871857,-2.12891123335668,-1.72405307539989,-1.03438454063475,-2.15409570411953,0.780582959465214,-3.73701037055316,-2.67323400664466,-2.11160360149604,-1.59485091163057,-0.754975546665795,-0.863399920597651,0.19204925475429,-1.26422538969396,-0.980882211291512,-0.850612008536211,-0.73413844155451,-0.511147633311003
"tau_raw[2,1]",-0.568245720548294,0.288995820329282,0.704861241738817,-1.87927079019185,-0.99544485719936,-0.728326553471893,-0.128342514863525,0.979330828314705,5.94872835855815,1.14969697956683,-0.653975862591088,0.722112998695912,-2.18889753299591,-1.10667252716062,-0.606744121361076,-0.15683747959092,0.625884649968947,-0.135447198842416,0.787656455084724,-1.74692721271769,-0.644096794284366,-0.0989584212613205,0.38635805936499,1.32624424625717,-0.915314100211379,0.183448339176252,-1.28520667033771,-1.03305698796717,-0.915512981005725,-0.792369950899909,-0.552476850811593
"tau_raw[2,2]",-1.70245645331969,0.431128678326326,0.808837374458781,-3.53331842104069,-2.24036073840268,-1.5220346638261,-1.05087656680528,-0.642558760008574,3.51972389114354,1.28624410042153,-2.06646505611354,0.763649977225632,-3.7593803333483,-2.53828837247391,-2.01111364140271,-1.53910517955302,-0.746941006625799,-2.01742960364438,0.803600404735452,-3.71529328077684,-2.52696560427122,-1.98440933352259,-1.48065490851259,-0.537344433515709,-1.02347470020115,0.202769311864154,-1.44448960906114,-1.15609822283431,-1.01573764731413,-0.883375381150378,-0.652290030683005
"tau_raw[2,3]",-1.53379795116042,0.547600929199633,0.906031560269624,-3.53529028931825,-2.16810805697738,-1.41453609189193,-0.736479613820596,-0.336597953643529,2.73752629287444,1.43157786890913,-1.95537315738771,0.779009436425239,-3.69816003142129,-2.4211354086626,-1.88018831691102,-1.41442147365931,-0.616204684128055,-1.98717953818727,0.814095592004932,-3.75075875979306,-2.51157942254869,-1.93124017310293,-1.41303477518474,-0.544803030660649,-0.658841157906283,0.210572867782497,-1.09867552339613,-0.792620300858085,-0.651593773550248,-0.515034574305181,-0.261447956617974
"tau_raw[3,1]",-0.872170555141154,0.185991248763153,0.367681276967029,-1.46966422897399,-1.14317855129857,-0.924201088179485,-0.600671409755673,-0.162287674408575,3.90803108949361,1.24526288642132,-0.646710507877877,0.280261572909525,-1.21537894810267,-0.827712128989221,-0.64493629156434,-0.454989392916569,-0.104184531056412,-0.824606454201955,0.435302044956723,-1.80961267906934,-1.05824327152889,-0.77285307567831,-0.533922027435491,-0.105905122106482,-1.14519470334363,0.0996289955699223,-1.33623803618914,-1.21214772945061,-1.14547856836014,-1.08000618237899,-0.94843629420426
"tau_raw[3,2]",-1.06692208422258,0.196528668332974,0.415887679110916,-2.11383590821899,-1.2597826284973,-0.9485160037626,-0.804480878096541,-0.502148290003203,4.47816700642199,1.20706660030819,-1.00462585917871,0.324514340820874,-1.66230563233679,-1.21182307961722,-0.995291780040817,-0.788456083389537,-0.391543910073884,-1.36010121459568,0.509843269464435,-2.54013471488338,-1.62804719782256,-1.30721261352816,-1.01682054628955,-0.53433191595295,-0.836039178893364,0.102648890728948,-1.04111237160514,-0.904646245680226,-0.834958937121874,-0.766413017792542,-0.636479902681972
"tau_raw[3,3]",-1.28837550043699,0.39700776524655,0.573595192576685,-2.56401787350522,-1.66066147578628,-1.27094202239385,-0.752137544209687,-0.542146542327769,2.08743520051975,1.78146860161956,-1.36744629556705,0.314333029138417,-2.03337990296883,-1.55727157179261,-1.35027700693862,-1.15072648300584,-0.792824907716401,-1.80858415597449,0.491724481765534,-2.96036342570178,-2.05692632305211,-1.73959155096214,-1.48507859076509,-1.02573542417527,-0.689096049769446,0.102153923933428,-0.894957467842278,-0.757872771760878,-0.68808079386614,-0.619515518397952,-0.493620697457555
"tau_raw[4,1]",-0.941104174301733,0.071515637455567,0.131191558236176,-1.16038875459398,-1.03938995770679,-0.953985379607668,-0.852452969028713,-0.665059297324736,3.36519126342006,1.29821030052133,-0.850390214443307,0.114040005338559,-1.06636203527383,-0.92840732496172,-0.854690658816332,-0.775622176666063,-0.614754119921206,-0.929860684401492,0.121105858462319,-1.15957491722404,-1.01234763264862,-0.932526522388014,-0.85208452534924,-0.685509360050708,-1.0430616240604,0.0722100956315381,-1.18098763324083,-1.09229038382003,-1.04310119431299,-0.995015860765611,-0.898035804590415
