		mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	psi[13,2]	1.949	0.1847	0.006822	1.587	1.946	2.316	501	1550
	psi[13,3]	1.297	0.14	0.006253	1.032	1.293	1.581	501	1550
	psi[13,4]	0.9212	0.1013	0.00304	0.7346	0.919	1.137	501	1550
	psi[14,2]	0.8716	0.1335	0.004532	0.6005	0.8698	1.134	501	1550
	psi[14,3]	0.719	0.1195	0.005249	0.4825	0.7193	0.9497	501	1550
	psi[14,4]	0.7645	0.1006	0.00333	0.5587	0.7668	0.9567	501	1550
	psi[15,2]	1.83	0.1807	0.008173	1.48	1.831	2.194	501	1550
	psi[15,3]	1.345	0.1405	0.006987	1.079	1.34	1.61	501	1550
	psi[15,4]	1.148	0.1086	0.003934	0.9325	1.148	1.365	501	1550
	psi[16,2]	2.079	0.1867	0.008021	1.733	2.074	2.456	501	1550
	psi[16,3]	1.511	0.1466	0.006009	1.228	1.518	1.798	501	1550
	psi[16,4]	1.328	0.1073	0.004886	1.122	1.326	1.556	501	1550
	psi[17,2]	2.257	0.2052	0.0085	1.865	2.256	2.668	501	1550
	psi[17,3]	1.655	0.1536	0.005921	1.361	1.653	1.96	501	1550
	psi[17,4]	1.432	0.1135	0.0039	1.208	1.434	1.635	501	1550
	psi[18,2]	1.778	0.1942	0.01069	1.406	1.777	2.155	501	1550
	psi[18,3]	1.45	0.1591	0.00743	1.143	1.452	1.768	501	1550
	psi[18,4]	1.125	0.1175	0.004764	0.8934	1.127	1.358	501	1550
	psi[19,2]	1.42	0.1621	0.005787	1.1	1.423	1.731	501	1550
	psi[19,3]	1.296	0.1383	0.006506	1.029	1.296	1.58	501	1550
	psi[19,4]	1.052	0.1072	0.004002	0.8327	1.054	1.262	501	1550
	psi[20,2]	2.354	0.2221	0.01152	1.928	2.349	2.799	501	1550
	psi[20,3]	1.718	0.1784	0.00941	1.375	1.715	2.071	501	1550
	psi[20,4]	1.791	0.1499	0.007778	1.508	1.788	2.083	501	1550
	tau[1,2]	1.554	0.2071	0.02709	1.172	1.545	1.973	501	1550
	tau[1,3]	1.19	0.2224	0.0285	0.7945	1.171	1.631	501	1550
	tau[1,4]	0.9323	0.2192	0.02736	0.5417	0.9199	1.39	501	1550
	tau[2,2]	1.036	0.1994	0.02384	0.6488	1.04	1.397	501	1550
	tau[2,3]	1.146	0.2159	0.02615	0.7361	1.156	1.551	501	1550
	tau[2,4]	0.7384	0.2304	0.0258	0.2922	0.7411	1.183	501	1550
	tau[3,2]	1.092	0.09237	0.0073	0.9019	1.092	1.267	501	1550
	tau[3,3]	0.7955	0.09181	0.005155	0.6127	0.792	0.9821	501	1550
	tau[3,4]	0.6306	0.09364	0.004848	0.4549	0.6284	0.8138	501	1550
	tau[4,2]	0.9735	0.06379	0.004244	0.8467	0.9738	1.098	501	1550
	tau[4,3]	0.8702	0.06328	0.003848	0.7459	0.8697	1.002	501	1550
	tau[4,4]	0.5588	0.05237	0.002128	0.4584	0.5576	0.6658	501	1550
	tau[5,2]	1.326	0.1351	0.005133	1.049	1.329	1.588	501	1550
	tau[5,3]	0.738	0.1338	0.005624	0.4838	0.7402	1.002	501	1550
	tau[5,4]	0.9478	0.127	0.007205	0.7135	0.9472	1.208	501	1550
	tau[6,2]	0.9838	0.06184	0.003314	0.8602	0.9838	1.107	501	1550
	tau[6,3]	0.7315	0.05891	0.003041	0.6167	0.7331	0.8404	501	1550
	tau[6,4]	0.5968	0.05178	0.002418	0.4977	0.5945	0.703	501	1550
	tau[7,2]	1.052	0.06304	0.003101	0.9256	1.056	1.173	501	1550
	tau[7,3]	0.8881	0.06402	0.004191	0.7684	0.8831	1.013	501	1550
	tau[7,4]	0.5987	0.05118	0.002556	0.4995	0.5981	0.7015	501	1550
	tau[8,2]	1.362	0.08691	0.004845	1.194	1.363	1.533	501	1550
	tau[8,3]	1.167	0.07713	0.004958	1.017	1.163	1.325	501	1550
	tau[8,4]	0.8107	0.06536	0.003382	0.686	0.8106	0.9466	501	1550
	tau[9,2]	0.911	0.06777	0.003644	0.7758	0.9095	1.039	501	1550
	tau[9,3]	0.7497	0.06614	0.003532	0.6232	0.7457	0.8849	501	1550
	tau[9,4]	0.3558	0.06262	0.002577	0.238	0.3535	0.487	501	1550
	tau[10,2]	1.362	0.1823	0.006875	1.0	1.367	1.714	501	1550
	tau[10,3]	0.9894	0.1669	0.007411	0.6599	0.996	1.303	501	1550
	tau[10,4]	1.108	0.1575	0.008089	0.8085	1.103	1.436	501	1550
	tau[11,2]	1.061	0.1245	0.006074	0.819	1.067	1.303	501	1550
	tau[11,3]	0.8677	0.1151	0.005146	0.6567	0.8676	1.101	501	1550
	tau[11,4]	0.5595	0.1032	0.004222	0.3486	0.5582	0.7582	501	1550
	tau[12,2]	1.171	0.1629	0.006869	0.8579	1.17	1.477	501	1550
	tau[12,3]	1.141	0.1455	0.007	0.85	1.147	1.418	501	1550
	tau[12,4]	1.031	0.1309	0.007419	0.7711	1.026	1.309	501	1550
	tau[13,2]	1.163	0.06794	0.00442	1.022	1.162	1.295	501	1550
	tau[13,3]	0.7749	0.0654	0.003986	0.6515	0.7736	0.9097	501	1550
	tau[13,4]	0.551	0.0565	0.002369	0.4484	0.5475	0.6669	501	1550
	tau[14,2]	0.8609	0.1032	0.004221	0.6468	0.861	1.065	501	1550
	tau[14,3]	0.7113	0.1052	0.004067	0.5077	0.7131	0.9226	501	1550
	tau[14,4]	0.7591	0.1035	0.005027	0.5454	0.758	0.9648	501	1550
	tau[15,2]	1.159	0.07352	0.004547	1.009	1.158	1.296	501	1550
	tau[15,3]	0.8519	0.0714	0.004516	0.7109	0.8539	0.991	501	1550
	tau[15,4]	0.7283	0.06504	0.002882	0.6017	0.7253	0.8555	501	1550
	tau[16,2]	1.476	0.08767	0.006057	1.315	1.467	1.665	501	1550
	tau[16,3]	1.073	0.08491	0.005803	0.9089	1.072	1.241	501	1550
	tau[16,4]	0.9441	0.07255	0.004092	0.8017	0.9431	1.093	501	1550
	tau[17,2]	1.396	0.07505	0.004969	1.25	1.396	1.543	501	1550
	tau[17,3]	1.024	0.07403	0.00478	0.8827	1.022	1.173	501	1550
	tau[17,4]	0.8879	0.06739	0.003546	0.7577	0.8871	1.023	501	1550
	tau[18,2]	0.9448	0.06249	0.003301	0.8205	0.9446	1.067	501	1550
	tau[18,3]	0.7718	0.06554	0.003798	0.6352	0.7725	0.8985	501	1550
	tau[18,4]	0.6003	0.0613	0.003193	0.4831	0.5991	0.7233	501	1550
	tau[19,2]	1.23	0.1054	0.007615	1.021	1.228	1.44	501	1550
	tau[19,3]	1.125	0.106	0.00761	0.9197	1.122	1.343	501	1550
	tau[19,4]	0.9142	0.09929	0.007106	0.7268	0.9139	1.117	501	1550
	tau[20,2]	1.377	0.07994	0.00649	1.209	1.375	1.533	501	1550
	tau[20,3]	1.006	0.08404	0.006216	0.8456	1.006	1.174	501	1550
	tau[20,4]	1.05	0.08357	0.006453	0.898	1.049	1.212	501	1550
	theta[1,1]	-0.3367	0.2286	0.008462	-0.7499	-0.3429	0.1082	501	1550
	theta[2,1]	-0.1572	0.1722	0.01134	-0.4655	-0.1576	0.1849	501	1550
	theta[3,1]	1.194	0.1851	0.01185	0.8273	1.204	1.555	501	1550
	theta[4,1]	-1.679	0.2739	0.01546	-2.259	-1.661	-1.211	501	1550
	theta[5,1]	0.5262	0.2618	0.01432	0.02389	0.5163	1.041	501	1550
	theta[6,1]	0.2826	0.2363	0.01259	-0.1304	0.2736	0.8345	501	1550
	theta[7,1]	1.148	0.1966	0.0106	0.7983	1.15	1.543	501	1550
	theta[8,1]	-0.1939	0.1854	0.0104	-0.5602	-0.1995	0.1617	501	1550
	theta[9,1]	0.3323	0.184	0.009707	-0.03674	0.3344	0.695	501	1550
	theta[10,1]	0.2001	0.1675	0.008869	-0.09086	0.1997	0.5355	501	1550
	theta[11,1]	-0.6077	0.1814	0.01098	-0.9614	-0.6144	-0.2446	501	1550
	theta[12,1]	0.7987	0.1926	0.01172	0.4398	0.8007	1.158	501	1550
	theta[13,1]	1.219	0.233	0.01339	0.7028	1.24	1.628	501	1550
	theta[14,1]	0.6232	0.162	0.008052	0.2977	0.6286	0.9446	501	1550
	theta[15,1]	1.336	0.2045	0.01343	0.9133	1.335	1.73	501	1550
	theta[16,1]	0.409	0.19	0.01043	0.03262	0.4003	0.8042	501	1550
	theta[17,1]	-1.388	0.2215	0.01273	-1.832	-1.374	-0.9978	501	1550
	theta[18,1]	-0.5421	0.1647	0.01052	-0.8538	-0.5407	-0.2094	501	1550
	theta[19,1]	-1.08	0.1745	0.01307	-1.447	-1.066	-0.7581	501	1550
	theta[20,1]	-0.4847	0.1703	0.0108	-0.8481	-0.4756	-0.1707	501	1550
	theta[21,1]	-0.5556	0.2079	0.01238	-0.9474	-0.5707	-0.1465	501	1550
	theta[22,1]	0.1533	0.1599	0.0113	-0.1705	0.1586	0.4753	501	1550
	theta[23,1]	-0.601	0.1644	0.008502	-0.9304	-0.6054	-0.2694	501	1550
	theta[24,1]	0.1601	0.1755	0.01073	-0.2241	0.1551	0.4988	501	1550
	theta[25,1]	-0.4501	0.1688	0.01027	-0.7722	-0.4549	-0.1171	501	1550
	theta[26,1]	1.887	0.2031	0.0127	1.537	1.887	2.331	501	1550
	theta[27,1]	0.8936	0.1768	0.01051	0.5708	0.8933	1.239	501	1550
	theta[28,1]	1.054	0.1851	0.01137	0.6868	1.057	1.419	501	1550
	theta[29,1]	0.3636	0.1723	0.01094	0.03461	0.36	0.7064	501	1550
	theta[30,1]	1.543	0.1939	0.01384	1.175	1.549	1.923	501	1550
	theta[31,1]	-0.5307	0.1532	0.009207	-0.821	-0.521	-0.2423	501	1550
	theta[32,1]	-0.5705	0.161	0.01195	-0.8826	-0.567	-0.2741	501	1550
	theta[33,1]	1.382	0.1821	0.01147	1.004	1.401	1.731	501	1550
	theta[34,1]	-0.857	0.1767	0.01027	-1.196	-0.862	-0.5169	501	1550
	theta[35,1]	-0.3117	0.1765	0.01066	-0.6536	-0.3087	0.05847	501	1550
	theta[36,1]	-0.2262	0.2174	0.009011	-0.6273	-0.2425	0.2173	501	1550
	theta[37,1]	-0.3516	0.2175	0.012	-0.7864	-0.3629	0.08847	501	1550
	theta[38,1]	-0.2568	0.1463	0.007467	-0.5156	-0.264	0.05092	501	1550
	theta[39,1]	0.2758	0.1646	0.01116	-0.04578	0.2687	0.5969	501	1550
	theta[40,1]	0.1756	0.1639	0.009423	-0.1303	0.1748	0.5099	501	1550
	theta[41,1]	-0.6434	0.1746	0.01051	-0.9938	-0.6268	-0.3081	501	1550
	theta[42,1]	1.292	0.2098	0.01398	0.8588	1.304	1.717	501	1550
	theta[43,1]	-0.2512	0.1738	0.01178	-0.6021	-0.2529	0.08316	501	1550
