		mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	theta[155,1]	-0.3307	0.1721	0.006371	-0.6755	-0.3258	-0.005019	10000	5001
	theta[156,1]	-0.4023	0.1939	0.006785	-0.773	-0.4024	-0.005414	10000	5001
	theta[157,1]	0.5918	0.1907	0.007036	0.2187	0.5906	0.9603	10000	5001
	theta[158,1]	-1.149	0.2037	0.006941	-1.595	-1.14	-0.7925	10000	5001
	theta[159,1]	1.035	0.1718	0.00668	0.7023	1.035	1.372	10000	5001
	theta[160,1]	0.001006	0.1624	0.005268	-0.3258	0.006554	0.3158	10000	5001
	theta[161,1]	0.586	0.1865	0.005803	0.2316	0.5812	0.9589	10000	5001
	theta[162,1]	0.9692	0.1761	0.007406	0.6181	0.9656	1.308	10000	5001
	theta[163,1]	0.152	0.1791	0.006525	-0.2219	0.1564	0.4846	10000	5001
	theta[164,1]	-0.6965	0.2127	0.007276	-1.121	-0.7064	-0.2712	10000	5001
	theta[165,1]	0.9062	0.187	0.006421	0.5426	0.9078	1.281	10000	5001
	theta[166,1]	-1.818	0.2582	0.008852	-2.341	-1.817	-1.305	10000	5001
	theta[167,1]	-0.1113	0.21	0.006537	-0.5219	-0.1076	0.2904	10000	5001
	theta[168,1]	-0.04331	0.2001	0.006717	-0.4347	-0.03819	0.3388	10000	5001
	theta[169,1]	-0.1118	0.1769	0.006226	-0.4706	-0.1041	0.2307	10000	5001
	theta[170,1]	0.961	0.2097	0.009216	0.5389	0.9585	1.375	10000	5001
	theta[171,1]	0.2581	0.1736	0.006866	-0.06947	0.2576	0.6056	10000	5001
	theta[172,1]	0.3252	0.2104	0.007691	-0.09544	0.3157	0.743	10000	5001
	theta[173,1]	-0.1111	0.162	0.005436	-0.4442	-0.1095	0.2071	10000	5001
	theta[174,1]	-0.1332	0.2058	0.006602	-0.516	-0.1429	0.2707	10000	5001
	theta[175,1]	0.7037	0.243	0.008169	0.2746	0.6798	1.222	10000	5001
	theta[176,1]	1.325	0.2166	0.009001	0.8818	1.328	1.724	10000	5001
	theta[177,1]	-2.04	0.3022	0.01076	-2.644	-2.039	-1.462	10000	5001
	theta[178,1]	0.9489	0.2863	0.009522	0.3936	0.9593	1.46	10000	5001
	theta[179,1]	0.5856	0.2575	0.009316	0.09823	0.5833	1.063	10000	5001
	theta[180,1]	-0.08725	0.1758	0.005985	-0.4386	-0.08512	0.2476	10000	5001
	theta[181,1]	0.9288	0.1994	0.00662	0.5196	0.932	1.303	10000	5001
	theta[182,1]	-0.1571	0.2383	0.006248	-0.5742	-0.1751	0.3011	10000	5001
	theta[183,1]	-0.1982	0.1583	0.006294	-0.513	-0.2023	0.1156	10000	5001
	theta[184,1]	1.099	0.1888	0.007585	0.7216	1.092	1.486	10000	5001
	theta[185,1]	1.638	0.2022	0.007912	1.233	1.636	2.043	10000	5001
	theta[186,1]	0.1834	0.1705	0.006653	-0.151	0.1819	0.5215	10000	5001
	theta[187,1]	-0.6466	0.1967	0.008536	-1.017	-0.6494	-0.2581	10000	5001
	theta[188,1]	-1.023	0.1815	0.006696	-1.397	-1.014	-0.6772	10000	5001
	theta[189,1]	-0.3534	0.1915	0.006313	-0.7303	-0.3558	0.03929	10000	5001
	theta[190,1]	-0.7884	0.1717	0.006214	-1.14	-0.7875	-0.4555	10000	5001
	theta[191,1]	-0.1455	0.1582	0.006278	-0.4626	-0.1437	0.1583	10000	5001
	theta[192,1]	0.322	0.172	0.006776	-0.02755	0.3218	0.6381	10000	5001
	theta[193,1]	-0.8636	0.184	0.007418	-1.229	-0.8584	-0.5169	10000	5001
	theta[194,1]	2.305	0.2394	0.009537	1.874	2.296	2.771	10000	5001
	theta[195,1]	-0.001552	0.1519	0.005704	-0.3034	0.002957	0.3	10000	5001
	theta[196,1]	1.057	0.2007	0.007712	0.6781	1.062	1.452	10000	5001
	theta[197,1]	-2.785	0.4054	0.0159	-3.628	-2.775	-2.011	10000	5001
	theta[198,1]	0.9764	0.2111	0.008004	0.5416	0.9809	1.362	10000	5001
	theta[199,1]	-1.015	0.1906	0.007138	-1.385	-1.02	-0.6514	10000	5001
	theta[200,1]	0.9797	0.1781	0.007702	0.6361	0.973	1.345	10000	5001
	theta[201,1]	0.5239	0.1993	0.00735	0.1672	0.5123	0.9605	10000	5001
	theta[202,1]	-0.489	0.1866	0.007054	-0.8156	-0.5043	-0.07346	10000	5001
	theta[203,1]	1.187	0.2179	0.007929	0.7512	1.188	1.605	10000	5001
	theta[204,1]	-0.4701	0.1943	0.007722	-0.8521	-0.4718	-0.08599	10000	5001
	theta[205,1]	-0.6235	0.1768	0.006541	-0.9671	-0.6206	-0.2726	10000	5001
	theta[206,1]	-0.9211	0.1858	0.006886	-1.28	-0.9213	-0.5475	10000	5001
	theta[207,1]	-0.5699	0.185	0.006794	-0.9203	-0.5777	-0.2095	10000	5001
	theta[208,1]	0.8006	0.1699	0.005958	0.4717	0.8032	1.131	10000	5001
	theta[209,1]	0.1698	0.1825	0.006754	-0.1904	0.1659	0.5321	10000	5001
	theta[210,1]	0.9673	0.1769	0.006968	0.6172	0.9692	1.304	10000	5001
	theta[211,1]	-0.396	0.1822	0.005736	-0.7594	-0.3949	-0.04796	10000	5001
	theta[212,1]	0.4876	0.1995	0.007583	0.1369	0.4703	0.9028	10000	5001
	theta[213,1]	0.279	0.1637	0.006272	-0.01845	0.2735	0.5979	10000	5001
	theta[214,1]	-1.568	0.2309	0.007379	-2.052	-1.558	-1.16	10000	5001
	theta[215,1]	1.301	0.2423	0.008106	0.803	1.311	1.757	10000	5001
	theta[216,1]	0.3519	0.1712	0.005708	2.792E-4	0.3603	0.6916	10000	5001
	theta[217,1]	0.6176	0.1955	0.006646	0.2502	0.6158	0.9943	10000	5001
	theta[218,1]	0.9075	0.2364	0.007764	0.4522	0.9034	1.385	10000	5001
	theta[219,1]	-0.2898	0.2181	0.006758	-0.6727	-0.3106	0.1672	10000	5001
	theta[220,1]	-0.3884	0.1728	0.0061	-0.7094	-0.3939	-0.03029	10000	5001
	theta[221,1]	0.8117	0.1941	0.007449	0.4156	0.8107	1.183	10000	5001
	theta[222,1]	-0.7949	0.1895	0.006189	-1.167	-0.7851	-0.4487	10000	5001
	theta[223,1]	1.805	0.2077	0.007976	1.406	1.802	2.233	10000	5001
	theta[224,1]	-0.6822	0.1834	0.006027	-1.036	-0.6943	-0.3241	10000	5001
	theta[225,1]	1.561	0.1995	0.008449	1.16	1.562	1.958	10000	5001
	theta[226,1]	1.42	0.2535	0.01072	0.818	1.443	1.838	10000	5001
	theta[227,1]	0.3984	0.2241	0.008247	-0.04257	0.3992	0.8333	10000	5001
	theta[228,1]	0.6489	0.1726	0.006065	0.3151	0.6442	0.9947	10000	5001
	theta[229,1]	-0.8015	0.1729	0.006051	-1.152	-0.7919	-0.4894	10000	5001
	theta[230,1]	-0.1358	0.2152	0.007063	-0.5548	-0.1377	0.2576	10000	5001
	theta[231,1]	1.056	0.2313	0.008522	0.5982	1.057	1.495	10000	5001
	theta[232,1]	0.294	0.2193	0.006859	-0.1251	0.2911	0.7569	10000	5001
	theta[233,1]	-0.2882	0.2198	0.006479	-0.6833	-0.3096	0.1677	10000	5001
	theta[234,1]	-0.5693	0.187	0.006213	-0.9123	-0.5659	-0.1907	10000	5001
	theta[235,1]	0.1915	0.1986	0.006512	-0.1813	0.1856	0.5738	10000	5001
	theta[236,1]	0.7966	0.2954	0.009737	0.1818	0.8237	1.301	10000	5001
	theta[237,1]	-0.3727	0.1849	0.006613	-0.7347	-0.3805	-0.01647	10000	5001
	theta[238,1]	-0.02743	0.1556	0.005956	-0.3425	-0.02477	0.2618	10000	5001
	theta[239,1]	-1.218	0.1894	0.007129	-1.605	-1.213	-0.8731	10000	5001
	theta[240,1]	0.6442	0.1685	0.007354	0.305	0.6471	0.9785	10000	5001
	theta[241,1]	1.329	0.2342	0.009417	0.8364	1.33	1.813	10000	5001
	theta[242,1]	1.292	0.2133	0.00865	0.846	1.297	1.688	10000	5001
	theta[243,1]	0.7413	0.218	0.008682	0.329	0.741	1.178	10000	5001
	theta[244,1]	-1.508	0.2212	0.008166	-1.974	-1.497	-1.083	10000	5001
	theta[245,1]	0.4722	0.2118	0.008272	0.06023	0.4736	0.8786	10000	5001
	theta[246,1]	0.3432	0.2191	0.006835	-0.06411	0.332	0.8161	10000	5001
	theta[247,1]	-0.5366	0.1901	0.006113	-0.8873	-0.5379	-0.1494	10000	5001
	theta[248,1]	-0.1421	0.2112	0.007105	-0.5659	-0.1438	0.2469	10000	5001
	theta[249,1]	-0.9119	0.1741	0.006573	-1.26	-0.9126	-0.5783	10000	5001
	theta[250,1]	0.7403	0.1954	0.007415	0.345	0.7359	1.142	10000	5001
	theta[251,1]	0.0946	0.1925	0.006989	-0.2975	0.1007	0.4626	10000	5001
	theta[252,1]	-1.341	0.1975	0.006312	-1.757	-1.337	-0.9722	10000	5001
	theta[253,1]	-0.2415	0.1675	0.006036	-0.5564	-0.2378	0.08206	10000	5001
	theta[254,1]	1.036	0.2513	0.007858	0.5359	1.049	1.503	10000	5001
	theta[255,1]	-0.4183	0.1645	0.005686	-0.7296	-0.4227	-0.09531	10000	5001
	theta[256,1]	0.8568	0.2023	0.00784	0.4528	0.8568	1.255	10000	5001
	theta[257,1]	0.5192	0.1844	0.006491	0.1597	0.5176	0.8835	10000	5001
	theta[258,1]	-0.2488	0.1805	0.00597	-0.5988	-0.2506	0.1012	10000	5001
	theta[259,1]	-0.05754	0.1761	0.005825	-0.4091	-0.05194	0.2921	10000	5001
	theta[260,1]	-0.3437	0.1687	0.006235	-0.6678	-0.3411	-0.01105	10000	5001
	theta[261,1]	0.8254	0.1915	0.008214	0.4538	0.8235	1.21	10000	5001
	theta[262,1]	-0.9024	0.1961	0.007458	-1.283	-0.905	-0.5057	10000	5001
	theta[263,1]	0.206	0.1859	0.007149	-0.171	0.2083	0.5616	10000	5001
	theta[264,1]	-0.3213	0.1676	0.005169	-0.663	-0.3231	6.445E-4	10000	5001
	theta[265,1]	-1.967	0.2652	0.00931	-2.518	-1.955	-1.478	10000	5001
	theta[266,1]	-1.216	0.1973	0.006922	-1.623	-1.214	-0.8335	10000	5001
	theta[267,1]	0.9336	0.1748	0.006263	0.605	0.9299	1.306	10000	5001
	theta[268,1]	0.1577	0.196	0.006871	-0.2153	0.1568	0.5674	10000	5001
	theta[269,1]	0.8005	0.1786	0.007371	0.4531	0.8034	1.168	10000	5001
	theta[270,1]	1.522	0.205	0.00935	1.1	1.532	1.908	10000	5001
	theta[271,1]	1.576	0.1922	0.008768	1.202	1.576	1.952	10000	5001
	theta[272,1]	0.6674	0.177	0.006911	0.3272	0.6655	1.014	10000	5001
	theta[273,1]	0.416	0.2	0.00789	0.01941	0.4178	0.8098	10000	5001
	theta[274,1]	-0.343	0.1774	0.006537	-0.6819	-0.3474	0.01585	10000	5001
	theta[275,1]	1.54	0.2037	0.007823	1.146	1.543	1.933	10000	5001
	theta[276,1]	0.6861	0.2145	0.007665	0.2744	0.674	1.12	10000	5001
	theta[277,1]	-1.196	0.1969	0.006982	-1.594	-1.192	-0.8136	10000	5001
	theta[278,1]	0.1951	0.219	0.00766	-0.2616	0.2102	0.6021	10000	5001
	theta[279,1]	-2.607	0.3438	0.01315	-3.328	-2.585	-1.99	10000	5001
	theta[280,1]	-0.3083	0.1888	0.007044	-0.6605	-0.3079	0.0604	10000	5001
	theta[281,1]	-2.06	0.2964	0.009997	-2.702	-2.034	-1.528	10000	5001
	theta[282,1]	1.188	0.1993	0.007764	0.7769	1.189	1.569	10000	5001
	theta[283,1]	-0.7214	0.1783	0.006495	-1.088	-0.7278	-0.3571	10000	5001
	theta[284,1]	-0.2354	0.1714	0.005588	-0.5878	-0.229	0.08765	10000	5001
	theta[285,1]	-0.1321	0.2073	0.007247	-0.5118	-0.1413	0.2949	10000	5001
	theta[286,1]	0.7664	0.2289	0.006424	0.3627	0.758	1.246	10000	5001
	theta[287,1]	0.5368	0.2165	0.007269	0.1145	0.5416	0.953	10000	5001
	theta[288,1]	0.5927	0.1672	0.007316	0.2635	0.5915	0.9323	10000	5001
	theta[289,1]	-0.8564	0.1816	0.00662	-1.239	-0.8515	-0.5168	10000	5001
	theta[290,1]	-1.291	0.1986	0.00736	-1.7	-1.286	-0.9083	10000	5001
	theta[291,1]	-0.5633	0.1744	0.006572	-0.8959	-0.559	-0.2212	10000	5001
	theta[292,1]	0.5081	0.1674	0.006539	0.1934	0.5016	0.8354	10000	5001
	theta[293,1]	-0.6553	0.2097	0.007366	-1.059	-0.6632	-0.2389	10000	5001
	theta[294,1]	-0.1028	0.1587	0.006198	-0.4271	-0.09429	0.1996	10000	5001
	theta[295,1]	-0.5964	0.1772	0.006867	-0.9242	-0.6035	-0.216	10000	5001
	theta[296,1]	0.1379	0.1744	0.005932	-0.2012	0.1413	0.4765	10000	5001
	theta[297,1]	0.3799	0.192	0.005723	0.009132	0.3816	0.7677	10000	5001
	theta[298,1]	0.06469	0.1677	0.00651	-0.2466	0.06137	0.4037	10000	5001
	theta[299,1]	-0.2174	0.1727	0.0061	-0.5522	-0.2174	0.1263	10000	5001
	theta[300,1]	1.801	0.2015	0.008498	1.419	1.798	2.211	10000	5001
	theta[301,1]	0.617	0.1795	0.007107	0.2844	0.6116	0.9657	10000	5001
	theta[302,1]	1.056	0.2217	0.008639	0.6112	1.059	1.472	10000	5001
	theta[303,1]	-0.8094	0.1681	0.00673	-1.142	-0.8056	-0.4816	10000	5001
	theta[304,1]	0.1942	0.1791	0.007177	-0.1571	0.1936	0.559	10000	5001
	theta[305,1]	1.085	0.2301	0.007195	0.6743	1.079	1.541	10000	5001
	theta[306,1]	-0.3326	0.2079	0.006943	-0.7155	-0.3366	0.08957	10000	5001
	theta[307,1]	-1.68	0.2589	0.009626	-2.239	-1.664	-1.207	10000	5001
	theta[308,1]	0.373	0.1777	0.006007	-0.001788	0.3776	0.7093	10000	5001
	theta[309,1]	-1.78	0.2406	0.009312	-2.259	-1.786	-1.322	10000	5001
	theta[310,1]	-0.9318	0.1822	0.006761	-1.312	-0.9285	-0.588	10000	5001
	theta[311,1]	1.545	0.2201	0.008174	1.113	1.549	1.971	10000	5001
	theta[312,1]	0.8556	0.2001	0.007555	0.4711	0.856	1.26	10000	5001
	theta[313,1]	1.138	0.2187	0.006764	0.7181	1.131	1.567	10000	5001
	theta[314,1]	0.5594	0.2172	0.00836	0.1396	0.5524	1.001	10000	5001
	theta[315,1]	-0.2585	0.2076	0.008518	-0.6367	-0.2643	0.1846	10000	5001
	theta[316,1]	-0.8641	0.1827	0.006583	-1.226	-0.8571	-0.5071	10000	5001
	theta[317,1]	1.331	0.2013	0.007139	0.9178	1.337	1.704	10000	5001
	theta[318,1]	0.1828	0.1838	0.00668	-0.1692	0.175	0.5593	10000	5001
	theta[319,1]	-0.2938	0.1705	0.006238	-0.6139	-0.2972	0.03805	10000	5001
	theta[320,1]	0.848	0.1974	0.007645	0.4752	0.8459	1.243	10000	5001
	theta[321,1]	1.139	0.1841	0.007164	0.7719	1.139	1.53	10000	5001
	theta[322,1]	2.163	0.2316	0.01	1.719	2.166	2.639	10000	5001
	theta[323,1]	-0.3419	0.1776	0.006083	-0.6929	-0.3422	0.005315	10000	5001
	theta[324,1]	-0.423	0.1853	0.007181	-0.7879	-0.4278	-0.05539	10000	5001
	theta[325,1]	-0.4974	0.1848	0.006324	-0.8763	-0.4928	-0.1423	10000	5001
	theta[326,1]	-0.4066	0.1785	0.007042	-0.7449	-0.4045	-0.05266	10000	5001
	theta[327,1]	-0.4274	0.1692	0.005709	-0.7483	-0.4257	-0.0775	10000	5001
	theta[328,1]	-0.1467	0.2093	0.006761	-0.5557	-0.1432	0.2611	10000	5001
	theta[329,1]	1.382	0.22	0.007506	0.9504	1.378	1.802	10000	5001
	theta[330,1]	-0.6035	0.1619	0.005496	-0.919	-0.599	-0.2803	10000	5001
	theta[331,1]	-0.5617	0.1736	0.006436	-0.8989	-0.5671	-0.2119	10000	5001
	theta[332,1]	0.3558	0.1707	0.006376	0.01402	0.3512	0.6935	10000	5001
	theta[333,1]	1.191	0.2113	0.008552	0.7686	1.189	1.596	10000	5001
	theta[334,1]	-0.867	0.1813	0.006487	-1.214	-0.8725	-0.5107	10000	5001
	theta[335,1]	-0.467	0.1639	0.005543	-0.7883	-0.4659	-0.1356	10000	5001
	theta[336,1]	0.5319	0.2544	0.009072	0.08929	0.5112	1.079	10000	5001
	theta[337,1]	1.023	0.1889	0.007338	0.6462	1.022	1.401	10000	5001
	theta[338,1]	-0.2016	0.1659	0.005669	-0.5339	-0.1986	0.1226	10000	5001
	theta[339,1]	-1.482	0.2394	0.008849	-1.981	-1.472	-1.049	10000	5001
	theta[340,1]	1.719	0.1996	0.008946	1.331	1.723	2.116	10000	5001
	theta[341,1]	1.634	0.1993	0.00866	1.245	1.638	2.022	10000	5001
	theta[342,1]	-0.804	0.1843	0.005641	-1.177	-0.8055	-0.4453	10000	5001
	theta[343,1]	-0.1094	0.1663	0.006275	-0.4553	-0.1111	0.2157	10000	5001
	theta[344,1]	-1.524	0.2327	0.008432	-1.996	-1.514	-1.089	10000	5001
	theta[345,1]	0.453	0.1668	0.006691	0.1212	0.4551	0.7723	10000	5001
	theta[346,1]	1.507	0.1938	0.007829	1.144	1.501	1.885	10000	5001
	theta[347,1]	-1.552	0.2197	0.007356	-1.99	-1.548	-1.138	10000	5001
	theta[348,1]	-0.8468	0.1887	0.006816	-1.227	-0.8502	-0.4738	10000	5001
	theta[349,1]	-0.6172	0.1673	0.005428	-0.9365	-0.6212	-0.2877	10000	5001
	theta[350,1]	-0.7428	0.1711	0.006916	-1.086	-0.7366	-0.4197	10000	5001
	theta[351,1]	-2.375	0.3319	0.01052	-3.035	-2.359	-1.729	10000	5001
	theta[352,1]	0.1016	0.1776	0.006368	-0.2619	0.09901	0.4363	10000	5001
	theta[353,1]	-1.429	0.2137	0.008278	-1.86	-1.424	-1.024	10000	5001
	theta[354,1]	-0.06902	0.2338	0.008943	-0.5174	-0.06445	0.3847	10000	5001
	theta[355,1]	0.6327	0.1956	0.006683	0.2636	0.6262	1.034	10000	5001
	theta[356,1]	0.08792	0.2553	0.01061	-0.3887	0.09401	0.6288	10000	5001
	theta[357,1]	1.157	0.1818	0.008121	0.8057	1.156	1.525	10000	5001
	theta[358,1]	-0.001554	0.213	0.007226	-0.4218	0.001792	0.4018	10000	5001
	theta[359,1]	-0.7951	0.2021	0.007108	-1.186	-0.7974	-0.3914	10000	5001
	theta[360,1]	0.6869	0.1697	0.006691	0.3618	0.6855	1.024	10000	5001
	theta[361,1]	-0.3251	0.1661	0.006345	-0.6427	-0.33	0.01688	10000	5001
	theta[362,1]	1.578	0.194	0.009202	1.198	1.576	1.978	10000	5001
	theta[363,1]	0.2251	0.1895	0.006857	-0.1829	0.224	0.5881	10000	5001
	theta[364,1]	0.8785	0.1967	0.00718	0.5007	0.8787	1.275	10000	5001
	theta[365,1]	0.1449	0.175	0.006213	-0.2045	0.1476	0.4829	10000	5001
	theta[366,1]	0.1572	2.457	0.1797	-2.881	-1.454	3.123	10000	5001
	theta[367,1]	-1.108	0.1909	0.007248	-1.478	-1.108	-0.7424	10000	5001
	theta[368,1]	-0.3538	0.159	0.005642	-0.6629	-0.3492	-0.04258	10000	5001
	theta[369,1]	0.2144	0.1807	0.006277	-0.1435	0.2087	0.5789	10000	5001
	theta[370,1]	-1.754	0.2637	0.009029	-2.289	-1.74	-1.284	10000	5001
	theta[371,1]	0.9342	0.1997	0.007397	0.5446	0.9358	1.307	10000	5001
	theta[372,1]	-0.3878	0.1824	0.006537	-0.7487	-0.3819	-0.04167	10000	5001
	theta[373,1]	-0.5569	0.1724	0.006797	-0.9008	-0.5578	-0.2237	10000	5001
	theta[374,1]	-1.347	0.2036	0.007625	-1.769	-1.336	-0.9674	10000	5001
	theta[375,1]	-1.169	0.1875	0.00622	-1.559	-1.166	-0.8208	10000	5001
	theta[376,1]	0.04395	0.1752	0.006326	-0.2923	0.04381	0.401	10000	5001
	theta[377,1]	0.5451	0.1677	0.006242	0.1908	0.5467	0.8804	10000	5001
	theta[378,1]	-2.466	0.3385	0.01338	-3.206	-2.435	-1.858	10000	5001
	theta[379,1]	-0.6709	0.2002	0.006265	-1.052	-0.6712	-0.272	10000	5001
	theta[380,1]	0.5139	0.2492	0.008921	0.05633	0.5098	1.021	10000	5001
	theta[381,1]	-0.2425	0.1614	0.006386	-0.5561	-0.2398	0.07357	10000	5001
	theta[382,1]	1.896	0.2077	0.009001	1.488	1.885	2.32	10000	5001
	theta[383,1]	1.123	0.2296	0.007723	0.654	1.134	1.538	10000	5001
	theta[384,1]	0.7283	0.1749	0.006882	0.4044	0.7259	1.083	10000	5001
	theta[385,1]	-0.1004	0.1816	0.005962	-0.452	-0.1037	0.2543	10000	5001
	theta[386,1]	0.436	0.1943	0.007367	0.06959	0.4336	0.846	10000	5001
	theta[387,1]	-0.8425	0.1815	0.007173	-1.202	-0.8435	-0.5044	10000	5001
	theta[388,1]	0.7871	0.1991	0.007235	0.4223	0.7811	1.196	10000	5001
	theta[389,1]	1.425	0.2006	0.007301	1.03	1.438	1.804	10000	5001
	theta[390,1]	1.335	0.2009	0.00781	0.9213	1.341	1.731	10000	5001
	theta[391,1]	-0.9763	0.1753	0.00573	-1.337	-0.9694	-0.6497	10000	5001
	theta[392,1]	-2.18	0.3397	0.01215	-2.919	-2.158	-1.557	10000	5001
	theta[393,1]	0.1545	0.2008	0.007568	-0.2467	0.1545	0.5582	10000	5001
	theta[394,1]	0.1176	0.1724	0.006677	-0.2233	0.1249	0.4411	10000	5001
	theta[395,1]	1.374	0.1808	0.007831	1.032	1.367	1.733	10000	5001
	theta[396,1]	-1.06	0.2051	0.006864	-1.485	-1.044	-0.6741	10000	5001
	theta[397,1]	0.3567	0.1734	0.006551	-0.002989	0.3573	0.7084	10000	5001
	theta[398,1]	0.135	0.1675	0.006062	-0.2101	0.1348	0.4669	10000	5001
	theta[399,1]	1.141	0.199	0.007481	0.7445	1.151	1.513	10000	5001
	theta[400,1]	0.01576	0.1612	0.005781	-0.3125	0.01837	0.3218	10000	5001
	theta[401,1]	-0.1925	0.1707	0.006213	-0.5244	-0.1839	0.1337	10000	5001
	theta[402,1]	-1.39	0.2194	0.008259	-1.853	-1.377	-0.9963	10000	5001
	theta[403,1]	-0.09601	0.2172	0.007342	-0.4992	-0.1074	0.3342	10000	5001
	theta[404,1]	-0.6124	0.1706	0.005562	-0.9484	-0.6156	-0.2755	10000	5001
	theta[405,1]	2.292	0.2378	0.01063	1.844	2.288	2.76	10000	5001
	theta[406,1]	2.322	0.2286	0.01009	1.891	2.317	2.793	10000	5001
	theta[407,1]	-0.2533	0.1872	0.006821	-0.6228	-0.2568	0.1143	10000	5001
	theta[408,1]	-1.038	0.2072	0.006164	-1.483	-1.026	-0.6644	10000	5001
	theta[409,1]	-1.716	0.2869	0.007968	-2.279	-1.705	-1.171	10000	5001
	theta[410,1]	0.6422	0.1938	0.006875	0.2747	0.6356	1.022	10000	5001
	theta[411,1]	-0.8405	0.2251	0.007994	-1.253	-0.857	-0.3711	10000	5001
	theta[412,1]	2.189	0.2261	0.009734	1.76	2.188	2.636	10000	5001
	theta[413,1]	-0.9323	0.1866	0.006532	-1.309	-0.9313	-0.5728	10000	5001
	theta[414,1]	0.131	0.1533	0.005407	-0.1499	0.1327	0.4413	10000	5001
	theta[415,1]	3.302	0.4047	0.01397	2.606	3.266	4.158	10000	5001
	theta[416,1]	-0.9246	0.1961	0.006288	-1.295	-0.9276	-0.5328	10000	5001
	theta[417,1]	0.2346	0.1745	0.006629	-0.1202	0.2456	0.5714	10000	5001
	theta[418,1]	-0.9388	0.1981	0.006751	-1.343	-0.9389	-0.5561	10000	5001
	theta[419,1]	0.214	0.1894	0.007363	-0.1817	0.2233	0.5698	10000	5001
	theta[420,1]	-0.5789	0.1782	0.006029	-0.911	-0.5832	-0.2133	10000	5001
	theta[421,1]	-0.2377	0.171	0.006508	-0.5683	-0.2367	0.1072	10000	5001
	theta[422,1]	-0.1317	0.1914	0.007894	-0.4959	-0.1407	0.2547	10000	5001
	theta[423,1]	-1.13	0.2034	0.006404	-1.523	-1.127	-0.7363	10000	5001
	theta[424,1]	0.2808	0.1825	0.006251	-0.07555	0.2896	0.6492	10000	5001
	theta[425,1]	1.227	0.1873	0.007461	0.8666	1.222	1.59	10000	5001
	theta[426,1]	1.806	0.2016	0.008784	1.426	1.8	2.216	10000	5001
	theta[427,1]	-1.308	0.1969	0.008092	-1.705	-1.305	-0.9403	10000	5001
	theta[428,1]	-0.3545	0.212	0.007018	-0.7382	-0.3627	0.09261	10000	5001
	theta[429,1]	0.9923	0.1985	0.006842	0.6004	0.9891	1.405	10000	5001
	theta[430,1]	-1.087	0.1994	0.006962	-1.5	-1.082	-0.7095	10000	5001
	theta[431,1]	-2.147	0.2952	0.01106	-2.772	-2.138	-1.588	10000	5001
	theta[432,1]	-0.7406	0.1688	0.006237	-1.082	-0.738	-0.4209	10000	5001
	theta[433,1]	-0.9318	0.1774	0.006648	-1.289	-0.9263	-0.5952	10000	5001
	theta[434,1]	0.3035	0.1991	0.007112	-0.0797	0.3098	0.6997	10000	5001
	theta[435,1]	-0.3642	0.1681	0.006856	-0.7025	-0.3586	-0.04867	10000	5001
	theta[436,1]	0.02115	0.1677	0.006687	-0.2912	0.02238	0.3592	10000	5001
	theta[437,1]	-0.4784	0.1742	0.006232	-0.8254	-0.4789	-0.1386	10000	5001
	theta[438,1]	0.5578	0.1981	0.007182	0.1848	0.5484	0.9718	10000	5001
	theta[439,1]	-0.4451	0.1656	0.006989	-0.7643	-0.4398	-0.1202	10000	5001
	theta[440,1]	1.326	0.2396	0.009011	0.8528	1.32	1.801	10000	5001
	theta[441,1]	-0.8669	0.1887	0.006901	-1.214	-0.8764	-0.4766	10000	5001
	theta[442,1]	0.2448	0.2061	0.007743	-0.1757	0.2543	0.638	10000	5001
	theta[443,1]	-1.015	0.1955	0.005893	-1.422	-1.012	-0.6256	10000	5001
	theta[444,1]	0.4379	0.1626	0.006008	0.109	0.4394	0.7705	10000	5001
	theta[445,1]	-0.09074	0.1738	0.006452	-0.4192	-0.09302	0.2629	10000	5001
	theta[446,1]	-1.594	0.265	0.009707	-2.177	-1.58	-1.119	10000	5001
	theta[447,1]	-0.2411	0.1925	0.007197	-0.6159	-0.2441	0.1524	10000	5001
	theta[448,1]	0.9436	0.1856	0.006944	0.5793	0.9487	1.306	10000	5001
	theta[449,1]	0.8333	0.2502	0.009361	0.3487	0.8314	1.3	10000	5001
	theta[450,1]	0.1242	0.1573	0.006203	-0.1945	0.1267	0.4251	10000	5001
	theta[451,1]	-1.365	0.2061	0.007053	-1.805	-1.357	-0.9794	10000	5001
	theta[452,1]	0.9087	0.1786	0.006328	0.5677	0.9101	1.261	10000	5001
	theta[453,1]	0.1456	0.1834	0.007179	-0.235	0.1453	0.4999	10000	5001
	theta[454,1]	-0.4043	0.163	0.006832	-0.7205	-0.4069	-0.08394	10000	5001
	theta[455,1]	1.7	0.2121	0.008557	1.296	1.7	2.11	10000	5001
	theta[456,1]	-0.7873	0.1678	0.006629	-1.118	-0.7826	-0.4667	10000	5001
	theta[457,1]	-0.1254	0.1619	0.006292	-0.4511	-0.1264	0.1862	10000	5001
	theta[458,1]	1.082	0.2286	0.009129	0.6133	1.095	1.477	10000	5001
	theta[459,1]	0.7618	0.1977	0.007438	0.3686	0.7626	1.15	10000	5001
	theta[460,1]	-0.138	0.1633	0.005647	-0.4469	-0.1419	0.1767	10000	5001
	theta[461,1]	-0.2278	0.1872	0.007366	-0.5645	-0.2328	0.1482	10000	5001
