		mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	psi[12,3]	0.7882	0.1149	0.002743	0.5642	0.7865	1.021	10000	5001
	psi[12,4]	0.6989	0.08747	0.001919	0.5293	0.6993	0.8701	10000	5001
	psi[13,2]	1.952	0.1881	0.004765	1.595	1.949	2.33	10000	5001
	psi[13,3]	1.289	0.1408	0.003222	1.019	1.289	1.568	10000	5001
	psi[13,4]	0.9242	0.1041	0.002242	0.7185	0.9238	1.128	10000	5001
	psi[14,2]	0.8732	0.1352	0.002966	0.6151	0.8705	1.143	10000	5001
	psi[14,3]	0.7207	0.121	0.00243	0.4825	0.7241	0.9548	10000	5001
	psi[14,4]	0.759	0.1007	0.002007	0.5629	0.7589	0.9604	10000	5001
	psi[15,2]	1.827	0.1823	0.003974	1.48	1.824	2.181	10000	5001
	psi[15,3]	1.336	0.141	0.003499	1.061	1.333	1.613	10000	5001
	psi[15,4]	1.152	0.1083	0.001901	0.9403	1.15	1.365	10000	5001
	psi[16,2]	2.074	0.185	0.00397	1.721	2.071	2.447	10000	5001
	psi[16,3]	1.524	0.1459	0.003348	1.238	1.523	1.808	10000	5001
	psi[16,4]	1.325	0.1053	0.002007	1.122	1.323	1.534	10000	5001
	psi[17,2]	2.25	0.2052	0.005041	1.856	2.242	2.668	10000	5001
	psi[17,3]	1.642	0.1549	0.003794	1.353	1.639	1.949	10000	5001
	psi[17,4]	1.436	0.1156	0.002461	1.216	1.436	1.663	10000	5001
	psi[18,2]	1.759	0.1965	0.005485	1.389	1.756	2.163	10000	5001
	psi[18,3]	1.44	0.1534	0.003721	1.141	1.439	1.745	10000	5001
	psi[18,4]	1.122	0.1176	0.002481	0.8983	1.119	1.361	10000	5001
	psi[19,2]	1.43	0.1652	0.003521	1.106	1.429	1.75	10000	5001
	psi[19,3]	1.298	0.1373	0.003158	1.028	1.295	1.571	10000	5001
	psi[19,4]	1.056	0.1047	0.002206	0.8513	1.053	1.267	10000	5001
	psi[20,2]	2.359	0.2335	0.007044	1.93	2.354	2.838	10000	5001
	psi[20,3]	1.736	0.1975	0.007313	1.362	1.732	2.127	10000	5001
	psi[20,4]	1.781	0.1567	0.005814	1.487	1.779	2.097	10000	5001
	tau[1,2]	1.447	0.1832	0.01609	1.121	1.434	1.842	10000	5001
	tau[1,3]	1.071	0.1993	0.01717	0.7131	1.055	1.499	10000	5001
	tau[1,4]	0.8357	0.1938	0.01517	0.4955	0.82	1.262	10000	5001
	tau[2,2]	0.9249	0.201	0.01699	0.556	0.9122	1.336	10000	5001
	tau[2,3]	1.03	0.2164	0.01869	0.6523	1.01	1.479	10000	5001
	tau[2,4]	0.6339	0.2255	0.01689	0.2216	0.6195	1.107	10000	5001
	tau[3,2]	1.102	0.09456	0.005472	0.9112	1.103	1.285	10000	5001
	tau[3,3]	0.7999	0.1003	0.004907	0.6051	0.7996	0.9984	10000	5001
	tau[3,4]	0.638	0.09405	0.004236	0.456	0.6371	0.8203	10000	5001
	tau[4,2]	0.9806	0.06754	0.002765	0.8464	0.9813	1.111	10000	5001
	tau[4,3]	0.8805	0.06353	0.002348	0.757	0.8792	1.011	10000	5001
	tau[4,4]	0.563	0.05422	0.001753	0.4586	0.5617	0.6722	10000	5001
	tau[5,2]	1.342	0.1323	0.003724	1.079	1.342	1.601	10000	5001
	tau[5,3]	0.7495	0.1288	0.003412	0.4939	0.7484	1.001	10000	5001
	tau[5,4]	0.9482	0.124	0.003542	0.7097	0.9444	1.203	10000	5001
	tau[6,2]	0.9909	0.0612	0.00253	0.8731	0.9901	1.112	10000	5001
	tau[6,3]	0.7357	0.05849	0.002103	0.6208	0.7363	0.8504	10000	5001
	tau[6,4]	0.6011	0.05297	0.001836	0.4993	0.5997	0.7096	10000	5001
	tau[7,2]	1.064	0.06865	0.002726	0.928	1.063	1.198	10000	5001
	tau[7,3]	0.8938	0.06191	0.002176	0.7757	0.8919	1.019	10000	5001
	tau[7,4]	0.6039	0.05207	0.001552	0.5045	0.603	0.7101	10000	5001
	tau[8,2]	1.371	0.0888	0.003433	1.199	1.371	1.546	10000	5001
	tau[8,3]	1.173	0.07604	0.003119	1.028	1.171	1.324	10000	5001
	tau[8,4]	0.8215	0.06177	0.002062	0.7063	0.8203	0.9496	10000	5001
	tau[9,2]	0.9205	0.07128	0.002585	0.776	0.9214	1.058	10000	5001
	tau[9,3]	0.7533	0.06664	0.002014	0.627	0.7526	0.8854	10000	5001
	tau[9,4]	0.361	0.06201	0.001526	0.2365	0.361	0.4829	10000	5001
	tau[10,2]	1.379	0.1872	0.004604	1.011	1.381	1.746	10000	5001
	tau[10,3]	1.002	0.1708	0.004344	0.6603	1.0	1.348	10000	5001
	tau[10,4]	1.114	0.1585	0.004624	0.8157	1.108	1.439	10000	5001
	tau[11,2]	1.073	0.1214	0.003493	0.8273	1.074	1.312	10000	5001
	tau[11,3]	0.8711	0.1173	0.003278	0.6401	0.8719	1.103	10000	5001
	tau[11,4]	0.5627	0.107	0.002257	0.3532	0.5624	0.7756	10000	5001
	tau[12,2]	1.181	0.1711	0.003857	0.8482	1.183	1.516	10000	5001
	tau[12,3]	1.166	0.1556	0.004523	0.8633	1.166	1.474	10000	5001
	tau[12,4]	1.036	0.1373	0.004393	0.7829	1.031	1.323	10000	5001
	tau[13,2]	1.176	0.06981	0.002972	1.038	1.175	1.313	10000	5001
	tau[13,3]	0.7769	0.0657	0.002194	0.6488	0.7762	0.9073	10000	5001
	tau[13,4]	0.558	0.0598	0.001909	0.4463	0.5565	0.6787	10000	5001
	tau[14,2]	0.8691	0.1052	0.003499	0.6584	0.8701	1.072	10000	5001
	tau[14,3]	0.7187	0.1095	0.003021	0.5026	0.721	0.9222	10000	5001
	tau[14,4]	0.7591	0.1018	0.00266	0.5675	0.7571	0.964	10000	5001
	tau[15,2]	1.168	0.07611	0.003305	1.016	1.17	1.317	10000	5001
	tau[15,3]	0.8555	0.07478	0.002764	0.7097	0.8551	1.004	10000	5001
	tau[15,4]	0.7383	0.06781	0.002321	0.6148	0.7373	0.8753	10000	5001
	tau[16,2]	1.489	0.08803	0.00404	1.319	1.486	1.664	10000	5001
	tau[16,3]	1.094	0.08452	0.003652	0.93	1.092	1.263	10000	5001
	tau[16,4]	0.953	0.07386	0.0029	0.8145	0.9514	1.103	10000	5001
	tau[17,2]	1.409	0.08267	0.004126	1.251	1.408	1.573	10000	5001
	tau[17,3]	1.029	0.07596	0.003137	0.8823	1.028	1.182	10000	5001
	tau[17,4]	0.9017	0.07105	0.003068	0.7673	0.9006	1.048	10000	5001
	tau[18,2]	0.9506	0.06743	0.003026	0.8167	0.9526	1.082	10000	5001
	tau[18,3]	0.7794	0.06853	0.002598	0.6445	0.7801	0.9141	10000	5001
	tau[18,4]	0.6085	0.06213	0.002263	0.49	0.6084	0.7308	10000	5001
	tau[19,2]	1.243	0.1061	0.004456	1.032	1.242	1.449	10000	5001
	tau[19,3]	1.131	0.1075	0.004526	0.9293	1.128	1.35	10000	5001
	tau[19,4]	0.9215	0.09555	0.003858	0.7373	0.9189	1.113	10000	5001
	tau[20,2]	1.385	0.0901	0.005731	1.217	1.383	1.567	10000	5001
	tau[20,3]	1.02	0.09703	0.00567	0.8355	1.018	1.219	10000	5001
	tau[20,4]	1.048	0.09419	0.005438	0.8743	1.044	1.245	10000	5001
	theta[1,1]	-0.3006	0.226	0.00786	-0.7218	-0.3074	0.1831	10000	5001
	theta[2,1]	-0.124	0.1785	0.006102	-0.4611	-0.1208	0.2267	10000	5001
	theta[3,1]	1.224	0.1908	0.007287	0.8455	1.232	1.585	10000	5001
	theta[4,1]	-1.714	0.2871	0.008544	-2.363	-1.691	-1.203	10000	5001
	theta[5,1]	0.5574	0.2533	0.008027	0.0932	0.5515	1.087	10000	5001
	theta[6,1]	0.2923	0.2249	0.008215	-0.122	0.2831	0.7743	10000	5001
	theta[7,1]	1.165	0.1988	0.007897	0.7688	1.173	1.541	10000	5001
	theta[8,1]	-0.2029	0.1752	0.007349	-0.5533	-0.2013	0.1389	10000	5001
