"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2"
"tau_raw[1,1]",6.22908372758118,0.0315240927527314,1.24717358302758,3.88419545215369,5.43787469819286,6.19787492655353,7.02101108761213,8.72814321696488,1565.19558160692,1.00062244796749,6.28831289184615,1.2303285821899,3.96916779900315,5.52638206576217,6.24967944719552,7.04797089658568,8.83003529252241,6.16985456331621,1.26162960498927,3.67558347825089,5.35317855433631,6.1321602426873,7.01158154356008,8.60151177282377
"tau_raw[1,2]",4.42795030108605,0.0269695860015572,1.17154713944451,2.19324614763641,3.61512154438263,4.36098479284028,5.193622667739,6.87035869121707,1886.99598555304,1.00087518337159,4.48758895692716,1.13645400924206,2.31885044034386,3.74082982927676,4.40304634665733,5.24667836999503,6.90590491242666,4.36831164524494,1.2032335276891,2.12316197633309,3.52840527587369,4.3050652406835,5.15825867625042,6.807585890439
"tau_raw[1,3]",1.16438943699,0.0206855927382612,1.0871962054471,-0.751773008607724,0.389148077709981,1.12683691971241,1.8742924129709,3.38156661389972,2762.35770587949,0.999662368627013,1.19215900211495,1.12808779174245,-0.826217183330551,0.386294108848316,1.16090760635116,1.92818688179995,3.53200027415635,1.13661987186506,1.04453264660848,-0.723258787975489,0.393731799589108,1.08873220507034,1.85511213505006,3.20249378564469
"tau_raw[2,1]",8.17560579768092,1.19723019951151,1.78504091638013,4.28209290133846,7.11546146430073,8.33614116760216,9.46323602549033,11.2258610992949,2.22300799402555,1.30237288116671,9.21688412191686,1.17423543602097,7.10354710717908,8.35171019803673,9.20914292873543,10.0089895290592,11.621752240745,7.13432747344499,1.68119334369751,3.85843132385688,5.94795357645571,7.23506164977962,8.3040804895127,10.1573596329671
"tau_raw[2,2]",3.73568854080919,0.710922869445762,1.25775812222267,1.32601024760104,2.89346168503226,3.7229451549253,4.57898024794311,6.18859672645578,3.13003569903172,1.17502962148125,4.32875025149984,1.07888922038806,2.25771536731449,3.54061418067898,4.3215461469702,5.05198165106488,6.35892272769019,3.14262683011854,1.13901011553415,0.940224414683285,2.31719790295434,3.13379398118326,3.89400660327948,5.6128167389662
"tau_raw[2,3]",1.67790337954963,0.36129667433015,1.09122369929082,-0.362300985399599,0.933115119292803,1.62326925232268,2.41828090191119,3.90300784066955,9.12220128623247,1.05947426907612,1.98585137106146,1.11662037256318,-0.0970774062234436,1.24750486758496,1.97553533980318,2.71146616688493,4.15935274219473,1.3699553880378,0.972643533752582,-0.435666609812311,0.721624224684434,1.30942194028792,2.00134487094887,3.39632806247905
"tau_raw[3,1]",6.50003033339497,0.529339167804345,1.5811176772195,3.07369535289377,5.43281582473466,6.57430586336563,7.56703433456622,9.52558854703869,8.92196115105158,1.0735887368184,7.00613533027105,1.31217658485562,4.39031670381195,6.1253682026436,7.01665130249712,7.89280792518197,9.7118366198378,5.99392533651889,1.66365980028203,2.59092479999921,4.90393100210976,6.03939447483798,7.15953237448603,9.2284643720626
"tau_raw[3,2]",3.01607653836567,0.276417750438062,1.1969457636509,0.810238490023013,2.14942491626058,2.9676603752323,3.80466778284435,5.48468209738697,18.7506828180505,1.04180209327116,3.30911001991123,1.16948468762396,1.21731364621288,2.47644421745874,3.232730065919,4.06050877557835,5.67100101334699,2.72304305682011,1.15203682630634,0.640982694278689,1.94255170752407,2.66505763737702,3.47381891426333,5.16909642007686
"tau_raw[3,3]",-0.682179366850439,0.0185198126353761,0.981101929513422,-2.52428864622267,-1.32011561588805,-0.714608396042464,-0.0824304275405065,1.33535196742416,2806.43561049916,1.00066125818251,-0.638513904772556,1.02748757990962,-2.55039763746627,-1.36406550517353,-0.668709605809978,0.0225089209883002,1.34786110062853,-0.725844828928322,0.930880028533608,-2.47089728999679,-1.2851622559368,-0.758130518310195,-0.15474995338356,1.33225059888636
"tau_raw[4,1]",-0.0739313467685475,0.0072133495138935,0.248442169430974,-0.533844861740969,-0.246826142263655,-0.0863635356139406,0.083548494828678,0.458872250980307,1186.25122527851,1.00895074102786,-0.0911001776394785,0.25145855291688,-0.552722294989292,-0.261569413140307,-0.100904694525462,0.0575545018926611,0.471803106151895,-0.0567625158976166,0.244309797041278,-0.497234452252721,-0.22953776890027,-0.0732263178310165,0.103382732159158,0.450265669976191
"tau_raw[4,2]",-1.19168853879924,0.0252150944047063,0.236277579051165,-1.65013536873355,-1.35181093693331,-1.19009693689172,-1.03150035911435,-0.741702517291355,87.8059260771298,1.01920322410194,-1.23121697436941,0.238741994650139,-1.69749085844851,-1.38935912831028,-1.22786628624061,-1.07118131009727,-0.769002898798507,-1.15216010322908,0.227121573463558,-1.57222011091739,-1.30635127023217,-1.15450960772258,-0.99586858970496,-0.702600950533087
"tau_raw[4,3]",-1.14261676586923,0.00483559209216424,0.207989408367043,-1.56703621686729,-1.27309636232116,-1.14145667143184,-0.998526987965643,-0.76140629405036,1850.04853371783,1.00979338173822,-1.16343210263726,0.207656112751549,-1.57440284299071,-1.30191574198595,-1.16156063631307,-1.01845496402447,-0.783440178301425,-1.12180142910119,0.206334693655972,-1.54908321750052,-1.24968520098013,-1.12150118069886,-0.974959449267611,-0.744101003044652
