"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3"
"tau_raw[1,1]",0.175385665753764,0.00169878781458066,0.0935641317496567,0.0459828568846662,0.106209825131074,0.156521194331541,0.226239003263342,0.398898294072252,3033.47562333133,0.999381364895925,0.175412779849794,0.0975148953633834,0.0445806452507264,0.105119452773944,0.153114822826009,0.227850971272769,0.406781153995884,0.177162574484242,0.0962065764168104,0.047307005342961,0.105771806738401,0.157989885626168,0.230046951004657,0.405754798497938,0.173581642927254,0.0866544115952522,0.0459828568846662,0.108973468380928,0.157674017562783,0.221723798517493,0.372678686522209
"tau_raw[1,2]",0.108646617091486,0.00096481584152046,0.0588632397653311,0.0286318310393677,0.0658111625899886,0.0964565891749316,0.140837404229263,0.25404983535931,3722.19800250379,0.999254576398249,0.107875169341411,0.0593419263609834,0.0281710911125928,0.063891153860142,0.0935973062582029,0.141176770757749,0.257197956788889,0.108555923023747,0.0560985203717472,0.0303515413027979,0.0679700261732116,0.0986068095399425,0.138096726471553,0.238296508978347,0.109508758909302,0.0610878341408359,0.0280155285977367,0.0653544121234974,0.0968410189797034,0.143724244255879,0.261785238026685
"tau_raw[1,3]",0.128202321582187,0.00106186980412076,0.067443938648975,0.0335092131677047,0.0778562212830927,0.114369510828564,0.166665577015074,0.288255899886512,4034.06885842619,1.00056116724754,0.128045411529682,0.0641206341988819,0.0390315119754676,0.0789360800472333,0.112861554232167,0.166284726083362,0.281920242117789,0.128421808270566,0.069375223046841,0.0311737487373601,0.0778234450323969,0.117550648781307,0.167449460547187,0.292294827233399,0.128139744946314,0.0687801349736785,0.0334782074160019,0.0768250170652177,0.114006920977538,0.166639527903946,0.294498146733756
"tau_raw[2,1]",0.0948527174114849,0.00087710013431139,0.0498748485376749,0.0252754558708012,0.0591863715323913,0.0858205196700192,0.121241561086941,0.215077796554957,3233.44013435231,1.00072613691433,0.0970556894978065,0.0530541751582352,0.0233138828312951,0.0587840142688662,0.0874766675219702,0.126882826450822,0.226660595064474,0.0940309821430139,0.0483089027078512,0.0253115204858842,0.0595963970983812,0.0851746095547394,0.118692509447962,0.21228819581275,0.0934714805936342,0.0480785020026612,0.0266797098508742,0.059256075884181,0.083936575850759,0.119369790055433,0.208375222252919
"tau_raw[2,2]",0.0740228346581421,0.0006611331004464,0.0386775289007353,0.0195724463038181,0.045975820403762,0.0669024327796593,0.09501739712391,0.16524887311936,3422.4698917521,1.00110869959389,0.0736187133595181,0.0363903585895573,0.0224085576004373,0.0470716131006327,0.0676311325496668,0.0931019739847261,0.154994801653547,0.073379429099811,0.0394817210719206,0.0196460274149747,0.0453147066399479,0.0657950795254123,0.0929550695865266,0.1674428844043,0.0750703615150973,0.0400762754304736,0.0176135114851096,0.0457034491230771,0.0675177212411987,0.0987003295315789,0.167698422181773
"tau_raw[2,3]",0.0978011539337109,0.000928113984666473,0.0527109104894122,0.0264197226776346,0.0588809469952887,0.0864633043001232,0.126087674953184,0.230251075059283,3225.51007471876,0.999567952944835,0.0972763970899841,0.0524875491325551,0.0276830782651263,0.0574617905547789,0.0860173048343584,0.125345518606978,0.230991541736389,0.0988428274628471,0.0504766445406468,0.0282519453188151,0.0622413230088282,0.089139800836736,0.126050882124273,0.220451816754433,0.0972842372483014,0.0551037108806977,0.0243412213067477,0.0563266759562003,0.0840865427710042,0.126709222156549,0.230287813987282
"tau_raw[3,1]",0.105300927747382,0.00106945943964033,0.0588242425580169,0.0265684502528411,0.0626271492234081,0.0929101208491113,0.135941399462447,0.250196398968644,3025.40869836104,0.999983809600737,0.106645514418583,0.0589534589884459,0.0284969811694996,0.0631065552003585,0.0943476146656559,0.136445915458697,0.254115703233257,0.104778280725024,0.0621619380822841,0.0250835322868518,0.0583905332293679,0.0908263650363782,0.138931907382992,0.249113457960618,0.10447898809854,0.0551853763041495,0.0270129448023513,0.0648898411528549,0.0928536649360981,0.134075284389798,0.249972502282323
"tau_raw[3,2]",0.0655418110006,0.000617061941747306,0.0341343050532567,0.0183141621100999,0.0402745999103939,0.0591939865403094,0.0844842819429081,0.148608779013002,3060.0224159334,0.999292455902364,0.0655393389420235,0.0324867369217067,0.0212227017791789,0.0416897315211826,0.059726737642312,0.0833764351390622,0.145266295227734,0.0662713234885625,0.0351444017760111,0.0183499567712788,0.0402393151166906,0.0599297370919147,0.0853665021601085,0.149403009126469,0.0648147705712141,0.0347304777159525,0.0175385073348102,0.0391417944353031,0.0573634790083294,0.0858963751633238,0.148809413887605
"tau_raw[3,3]",0.0759920451715576,0.000674068055897404,0.0414973024190389,0.0203016993353293,0.0457795227070622,0.067792695575611,0.0966569041467394,0.177979933694867,3789.93916462526,0.999667885423359,0.0760552921862499,0.041732868940223,0.0202798923337079,0.0464157429761227,0.0682461265022122,0.0968256885422613,0.181704139771214,0.0749369836417958,0.0412441030555737,0.0202947067479982,0.041838353906371,0.0662111932445564,0.0980047492292747,0.175144858813532,0.0769838596866271,0.0415296819521169,0.0206112395569591,0.0481007057362202,0.0687730012941083,0.0948651720481418,0.172815546283464
"tau_raw[4,1]",0.117989533555422,0.00110329302217779,0.0657517553344318,0.029991395305655,0.0696653044097473,0.10510718493111,0.151519117067566,0.28206146063123,3551.67288640721,0.999376265692819,0.117311192478322,0.0671133187571502,0.0287014066599705,0.0697329494283172,0.104085911405872,0.148412422787597,0.284429635440234,0.118099910369946,0.0663795695055202,0.0296142170960633,0.0681576341513918,0.104244195533071,0.152168752325664,0.285887568587914,0.118557497817997,0.0637753457024775,0.0325753521589528,0.0703319502712278,0.107591626793097,0.153571316228759,0.273726310555973
