"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3"
"tau_raw[1,1]",0.0821291806448012,0.000571706692077497,0.0778623002460365,0.00237136077157141,0.0247539866497439,0.0585994442414369,0.115810933612429,0.286780986769833,18548.4621312481,0.99998044422857,0.0820320071731321,0.0776088414660903,0.00261093568426735,0.0249167408253764,0.05841520241241,0.115019859870971,0.289578278752907,0.0814035864340709,0.0768587024248306,0.00214091780132632,0.0244024305288068,0.0579326315722829,0.115254272844045,0.278514248102883,0.0829519483272005,0.0791102608260714,0.00241841934061222,0.0249820852073595,0.0597125949811007,0.1174690453953,0.289984485176381
"tau_raw[1,2]",0.0430828671172541,0.000280193909968372,0.0429334227787572,0.00120798417105223,0.0126767270416278,0.0301497341612806,0.0592010896354655,0.16022043731318,23478.6781737294,0.999912219980686,0.043476673024106,0.0443268038872718,0.00119902063011098,0.0122990350175736,0.0298341843118455,0.0592692889486995,0.163323315042369,0.042502343768953,0.0422973690100933,0.0012377265443143,0.0126268018349746,0.0296347237918744,0.0583036810307916,0.162139735024602,0.0432695845587032,0.042143965240652,0.00121957547491094,0.0131078938606786,0.030994219095238,0.060464722324523,0.15602426446367
"tau_raw[1,3]",0.0555351010082802,0.00034976129382835,0.0536419851333151,0.00131419031235013,0.0165892569646006,0.0399904217352619,0.0771702557984304,0.196056695520177,23521.5636608819,1.00012299769082,0.0542543256301406,0.0524895827088432,0.00144288174693206,0.0159908394397715,0.0384997173897571,0.0750326113951417,0.194532322205788,0.0561470574372295,0.0557585229948762,0.00100693859875013,0.0161947479479898,0.0395064506219668,0.0782643188774753,0.202447715171644,0.0562039199574705,0.0526013978456462,0.00149839511059321,0.0174865629177139,0.0422873169193403,0.0777981340880176,0.189289427699249
"tau_raw[2,1]",0.033437042175926,0.000230297190066166,0.0331067239764974,0.000897100631228485,0.00986209935936214,0.0232721690838905,0.0462529911167887,0.122328162790641,20665.9387488916,1.00003444941816,0.0341231980044694,0.0345799285914693,0.000901231224542457,0.00960415022951537,0.0234598570863735,0.0472698689420164,0.128326317353296,0.0330901570431631,0.0327385086932435,0.000826494280670551,0.00964357585443069,0.0230271065826559,0.0461443335087987,0.119366079635113,0.0330977714801454,0.0319423892232846,0.00108139491754131,0.0102216102938697,0.0234368169792326,0.0455183444115047,0.117835841533333
"tau_raw[2,2]",0.0251915854380338,0.000162816360530658,0.0246089482675398,0.000645562803996471,0.00748349689493116,0.0180250057365896,0.0353166952290114,0.0907766125343094,22844.9399777775,0.999866886225742,0.0253866042131431,0.0247341936478195,0.000692291833514591,0.00727024140095238,0.0181966293650444,0.0356582140189939,0.0933806455632988,0.0249500665032383,0.0239621407086887,0.000626182139150108,0.00771530671686104,0.0180627598448758,0.035316582522497,0.0873798749827367,0.0252380855977201,0.0251193197489835,0.000644885965846601,0.00744354396336952,0.017897050300569,0.0348410673529694,0.093211499754361
"tau_raw[2,3]",0.0385168240329715,0.000247764931061754,0.0374645306307067,0.000932944364040582,0.0112986868530091,0.0271325707825922,0.0539128743366877,0.139219522271583,22864.4584912058,0.999954066469004,0.0391438894158866,0.0387448119714712,0.00091778978206514,0.0113449012258699,0.0269400011652673,0.0548210545321218,0.142531260533379,0.0379948235104006,0.0370572733995704,0.000952188483339298,0.0109381957216556,0.0266116177397753,0.05368928659588,0.139342216921358,0.0384117591726272,0.0365548338638739,0.000975655373782135,0.0115858839189334,0.0279144418316068,0.0534130491738158,0.13534077215291
"tau_raw[3,1]",0.0364861328330208,0.000242677669196411,0.0367074823598091,0.00089100380239532,0.0106039010795144,0.0250023182059382,0.0503063922899079,0.136558560446932,22879.6600484342,0.999833907504594,0.0367113581163853,0.036513199037945,0.000833709183090414,0.0108555423422528,0.0253210005895152,0.0513592242965144,0.135620585499412,0.036403859714508,0.0374540405950455,0.000875101043061508,0.0104730105110764,0.0246902725253218,0.0497223925413522,0.13693942729505,0.036343180668169,0.0361491363662177,0.00100534571972109,0.0104421999112533,0.0249629996420391,0.0502851679367144,0.135955658183541
"tau_raw[3,2]",0.0199489827523689,0.00013724655688069,0.020344006541968,0.000384868693337716,0.00565851467919001,0.0136463137734856,0.027650386502352,0.074933556835593,21972.0236349682,0.999832292350392,0.0199855000030896,0.0206961202367132,0.000347331631694232,0.00564346884837692,0.0136655902150369,0.0274916900226327,0.076256090422716,0.0200357430176146,0.0203865564475411,0.000386041820372506,0.00580385014631733,0.0136503470991506,0.027794881173866,0.0734383674210876,0.0198257052364024,0.0199458329343163,0.000457567765282943,0.00555343003157643,0.0136234411168935,0.0275166715632748,0.0746308493575216
"tau_raw[3,3]",0.0247420641752322,0.00016672071210711,0.024643916244908,0.000622739722704195,0.00713948261288014,0.0172934398434279,0.0344713295716469,0.0905362843481578,21849.4412342694,1.00004251887443,0.0246390071065187,0.0238345682952649,0.00072888702099945,0.00756072663650926,0.0173967871502455,0.0345290878529984,0.0868297341220777,0.0247642157600617,0.0255668083333268,0.00054077318289162,0.00677845407963316,0.0169533463910943,0.0340712200930634,0.0947221870214021,0.0248229696591162,0.0245039753191296,0.000642081109078015,0.0070867449355373,0.0174578442566738,0.0347026908896556,0.0891903855938614
"tau_raw[4,1]",0.0430524117944679,0.000296205781051024,0.0426970408822481,0.00118567504620309,0.0124030801078291,0.0297681405684503,0.0596560507414154,0.157834094525014,20778.2273451841,1.00005134026821,0.0436612354377665,0.0427158476905035,0.00161807985355586,0.0126686744539043,0.0303243814027809,0.0606370517742591,0.159126389388622,0.0422915529665136,0.0412218379916092,0.00107854919430497,0.0122262003445785,0.0297600363639294,0.0595995274769386,0.15048116286177,0.0432044469791236,0.0441019819068272,0.00100156650410004,0.012283265207204,0.0293020620533653,0.0587388040641689,0.162850043050623
"tau_raw[4,2]",0.0431980752850266,0.000302334922150922,0.043502889373577,0.00121575429066806,0.0123937541388362,0.0298548235447033,0.0597996303031794,0.159519654682011,20704.2535006442,1.00007822785195,0.043042819220307,0.0434305243500753,0.00113156154419492,0.0122547926018996,0.0299676047475721,0.0601728127842478,0.159015234829128,0.0428123465389521,0.0435481615252968,0.00109885353236718,0.012235779377967,0.0288716901252044,0.058553119598494,0.160239574701586,0.0437390600958206,0.043533238303286,0.00143619323966142,0.0128596092544994,0.0305880363519923,0.0602901745979722,0.16004401847369
